validation_step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,Eii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX
39,20251.5,20248,20255,0.62745098,0.62745098,0.62745098,0.41025641,0.41025641,0.41025641,0,0,0,0.719101124,0.719101124,0.719101124,0.453900709,0.453900709,0.453900709,0,0,0,0.154512245,0.154512245,0.154512245,0.288888889,0.288888889,0.288888889
40,20259.5,20256,20263,0.404761905,0.404761905,0.404761905,0.300884956,0.300884956,0.300884956,0,0,0,0.62962963,0.62962963,0.62962963,0.357894737,0.357894737,0.357894737,0,0,0,0.118778281,0.118778281,0.118778281,0.154804053,0.154804053,0.154804053
41,20267.5,20264,20271,0.553846154,0.553846154,0.553846154,0.507936508,0.507936508,0.507936508,0,0,0,0.642857143,0.642857143,0.642857143,0.520325203,0.520325203,0.520325203,0,0,0,0.055502392,0.055502392,0.055502392,0.554903758,0.554903758,0.554903758
42,20275.5,20272,20279,0.901408451,0.901408451,0.901408451,0.516129032,0.516129032,0.516129032,0,0,0,1,1,1,0.542372881,0.542372881,0.542372881,0,0,0,0.041220115,0.041220115,0.041220115,0.592934084,0.592934084,0.592934084
43,20283.5,20280,20287,0.719101124,0.719101124,0.719101124,0.329411765,0.329411765,0.329411765,0,0,0,0.810126582,0.810126582,0.810126582,0.394366197,0.394366197,0.394366197,0,0,0,0.126155994,0.126155994,0.126155994,0.523352834,0.523352834,0.523352834
44,20291.5,20288,20295,0.5,0.5,0.5,0.529411765,0.529411765,0.529411765,0,0,0,0.652173913,0.652173913,0.652173913,0.571428571,0.571428571,0.571428571,0,0,0,0.561297051,0.561297051,0.561297051,0.187461314,0.187461314,0.187461314
45,20299.5,20296,20303,0.688172043,0.688172043,0.688172043,0.955223881,0.955223881,0.955223881,0,0,0,0.888888889,0.888888889,0.888888889,0.984615385,0.984615385,0.984615385,0,0,0,0.310565051,0.310565051,0.310565051,0.289649101,0.289649101,0.289649101
46,20307.5,20304,20311,0.537815126,0.537815126,0.537815126,0.790123457,0.790123457,0.790123457,0,0,0,0.646464646,0.646464646,0.646464646,0.831168831,0.831168831,0.831168831,0,0,0,0.06087685,0.06087685,0.06087685,0.256187291,0.256187291,0.256187291
47,20315.5,20312,20319,0.470588235,0.470588235,0.470588235,0.550724638,0.550724638,0.550724638,0,0,0,0.592592593,0.592592593,0.592592593,0.775510204,0.775510204,0.775510204,0,0,0,0.362348743,0.362348743,0.362348743,0.214216299,0.214216299,0.214216299
48,20323.5,20320,20327,0.335877863,0.335877863,0.335877863,0.566371681,0.566371681,0.566371681,0,0,0,0.458333333,0.458333333,0.458333333,0.507936508,0.507936508,0.507936508,0,0,0,0.604770983,0.604770983,0.604770983,0.418644732,0.418644732,0.418644732
