training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-base-s2rvguqj - _step,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-base-2fg7kdwu - _step,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-base-9kqvntjn - _step,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-base-14tz536k - _step,sso01-adamw-lr2e-4-base-14tz536k - _step__MIN,sso01-adamw-lr2e-4-base-14tz536k - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MAX,sso01-adamw-base-rniq89vc - _step,sso01-adamw-base-rniq89vc - _step__MIN,sso01-adamw-base-rniq89vc - _step__MAX,lr4e-4,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MIN,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MAX
5908,62066,62066,62066,0.990175139,0.990175139,0.990175139,62066,62066,62066,0.458412954,0.458412954,0.458412954,62066,62066,62066,0.916812339,0.916812339,0.916812339,62066,62066,62066,0.529590977,0.529590977,0.529590977,62066,62066,62066,0,0,0,62066,62066,62066,0,0,0
5909,62075,62075,62075,0.99276308,0.99276308,0.99276308,62075,62075,62075,0.41885563,0.41885563,0.41885563,62075,62075,62075,0.893815119,0.893815119,0.893815119,62075,62075,62075,0.473776337,0.473776337,0.473776337,62075,62075,62075,0,0,0,62075,62075,62075,0,0,0
5910,62084,62084,62084,0.997001499,0.997001499,0.997001499,62084,62084,62084,0.456414886,0.456414886,0.456414886,62084,62084,62084,0.920249158,0.920249158,0.920249158,62084,62084,62084,0.518013887,0.518013887,0.518013887,62084,62084,62084,0,0,0,62084,62084,62084,0,0,0
5911,62093,62093,62093,0.99351682,0.99351682,0.99351682,62093,62093,62093,0.406168616,0.406168616,0.406168616,62093,62093,62093,0.880752664,0.880752664,0.880752664,62093,62093,62093,0.472817474,0.472817474,0.472817474,62093,62093,62093,0,0,0,62093,62093,62093,0,0,0
5912,62102,62102,62102,0.995226477,0.995226477,0.995226477,62102,62102,62102,0.465627679,0.465627679,0.465627679,62102,62102,62102,0.893252769,0.893252769,0.893252769,62102,62102,62102,0.539736618,0.539736618,0.539736618,62102,62102,62102,0,0,0,62102,62102,62102,0,0,0
5913,62111,62111,62111,0.990295497,0.990295497,0.990295497,62111,62111,62111,0.440693158,0.440693158,0.440693158,62111,62111,62111,0.895412844,0.895412844,0.895412844,62111,62111,62111,0.503402251,0.503402251,0.503402251,62111,62111,62111,0,0,0,62111,62111,62111,0,0,0
5914,62120,62120,62120,0.992945703,0.992945703,0.992945703,62120,62120,62120,0.461912234,0.461912234,0.461912234,62120,62120,62120,0.88283165,0.88283165,0.88283165,62120,62120,62120,0.51032088,0.51032088,0.51032088,62120,62120,62120,0,0,0,62120,62120,62120,0,0,0
5915,62129,62129,62129,0.992260529,0.992260529,0.992260529,62129,62129,62129,0.473019293,0.473019293,0.473019293,62129,62129,62129,0.929596719,0.929596719,0.929596719,62129,62129,62129,0.542305371,0.542305371,0.542305371,62129,62129,62129,0,0,0,62129,62129,62129,0,0,0
5916,62138,62138,62138,0.991707727,0.991707727,0.991707727,62138,62138,62138,0.419882073,0.419882073,0.419882073,62138,62138,62138,0.908270677,0.908270677,0.908270677,62138,62138,62138,0.482392027,0.482392027,0.482392027,62138,62138,62138,0,0,0,62138,62138,62138,0,0,0
5917,62147,62147,62147,0.991106629,0.991106629,0.991106629,62147,62147,62147,0.511046792,0.511046792,0.511046792,62147,62147,62147,0.901619778,0.901619778,0.901619778,62147,62147,62147,0.555206881,0.555206881,0.555206881,62147,62147,62147,0,0,0,62147,62147,62147,0,0,0
5918,62156,62156,62156,0.981427905,0.981427905,0.981427905,62156,62156,62156,0.49571167,0.49571167,0.49571167,62156,62156,62156,0.912455516,0.912455516,0.912455516,62156,62156,62156,0.544276715,0.544276715,0.544276715,62156,62156,62156,0,0,0,62156,62156,62156,0,0,0
5919,62165,62165,62165,0.992616034,0.992616034,0.992616034,62165,62165,62165,0.458651842,0.458651842,0.458651842,62165,62165,62165,0.915025907,0.915025907,0.915025907,62165,62165,62165,0.536291325,0.536291325,0.536291325,62165,62165,62165,0,0,0,62165,62165,62165,0,0,0
5920,62174,62174,62174,0.987433025,0.987433025,0.987433025,62174,62174,62174,0.484220763,0.484220763,0.484220763,62174,62174,62174,0.911603747,0.911603747,0.911603747,62174,62174,62174,0.530669771,0.530669771,0.530669771,62174,62174,62174,0,0,0,62174,62174,62174,0,0,0
5921,62183,62183,62183,0.986972381,0.986972381,0.986972381,62183,62183,62183,0.391040402,0.391040402,0.391040402,62183,62183,62183,0.889431888,0.889431888,0.889431888,62183,62183,62183,0.434093029,0.434093029,0.434093029,62183,62183,62183,0,0,0,62183,62183,62183,0,0,0
5922,62192,62192,62192,0.986583878,0.986583878,0.986583878,62192,62192,62192,0.444735516,0.444735516,0.444735516,62192,62192,62192,0.909148067,0.909148067,0.909148067,62192,62192,62192,0.515515904,0.515515904,0.515515904,62192,62192,62192,0,0,0,62192,62192,62192,0,0,0
5923,62201,62201,62201,0.995569875,0.995569875,0.995569875,62201,62201,62201,0.475058685,0.475058685,0.475058685,62201,62201,62201,0.898596819,0.898596819,0.898596819,62201,62201,62201,0.538217725,0.538217725,0.538217725,62201,62201,62201,0,0,0,62201,62201,62201,0,0,0
5924,62210,62210,62210,0.98647343,0.98647343,0.98647343,62210,62210,62210,0.495210823,0.495210823,0.495210823,62210,62210,62210,0.904295265,0.904295265,0.904295265,62210,62210,62210,0.568810794,0.568810794,0.568810794,62210,62210,62210,0,0,0,62210,62210,62210,0,0,0
5925,62219,62219,62219,0.990752688,0.990752688,0.990752688,62219,62219,62219,0.453754301,0.453754301,0.453754301,62219,62219,62219,0.893744988,0.893744988,0.893744988,62219,62219,62219,0.504256231,0.504256231,0.504256231,62219,62219,62219,0,0,0,62219,62219,62219,0,0,0
5926,62228,62228,62228,0.991912384,0.991912384,0.991912384,62228,62228,62228,0.561597364,0.561597364,0.561597364,62228,62228,62228,0.92807387,0.92807387,0.92807387,62228,62228,62228,0.621560182,0.621560182,0.621560182,62228,62228,62228,0,0,0,62228,62228,62228,0,0,0
5927,62237,62237,62237,0.99009901,0.99009901,0.99009901,62237,62237,62237,0.519665707,0.519665707,0.519665707,62237,62237,62237,0.891538713,0.891538713,0.891538713,62237,62237,62237,0.578525257,0.578525257,0.578525257,62237,62237,62237,0,0,0,62237,62237,62237,0,0,0
5928,62246,62246,62246,0.993611138,0.993611138,0.993611138,62246,62246,62246,0.493571532,0.493571532,0.493571532,62246,62246,62246,0.931063046,0.931063046,0.931063046,62246,62246,62246,0.527477662,0.527477662,0.527477662,62246,62246,62246,0,0,0,62246,62246,62246,0,0,0
5929,62255,62255,62255,0.976573939,0.976573939,0.976573939,62255,62255,62255,0.467950678,0.467950678,0.467950678,62255,62255,62255,0.893659711,0.893659711,0.893659711,62255,62255,62255,0.520607375,0.520607375,0.520607375,62255,62255,62255,0,0,0,62255,62255,62255,0,0,0
5930,62264,62264,62264,0.989996969,0.989996969,0.989996969,62264,62264,62264,0.476110645,0.476110645,0.476110645,62264,62264,62264,0.885926204,0.885926204,0.885926204,62264,62264,62264,0.52284689,0.52284689,0.52284689,62264,62264,62264,0,0,0,62264,62264,62264,0,0,0
5931,62273,62273,62273,0.986207769,0.986207769,0.986207769,62273,62273,62273,0.395289035,0.395289035,0.395289035,62273,62273,62273,0.903913728,0.903913728,0.903913728,62273,62273,62273,0.46637759,0.46637759,0.46637759,62273,62273,62273,0,0,0,62273,62273,62273,0,0,0
5932,62282,62282,62282,0.98605139,0.98605139,0.98605139,62282,62282,62282,0.458561087,0.458561087,0.458561087,62282,62282,62282,0.90464933,0.90464933,0.90464933,62282,62282,62282,0.513879609,0.513879609,0.513879609,62282,62282,62282,0,0,0,62282,62282,62282,0,0,0
5933,62291,62291,62291,0.985915493,0.985915493,0.985915493,62291,62291,62291,0.43412119,0.43412119,0.43412119,62291,62291,62291,0.873517372,0.873517372,0.873517372,62291,62291,62291,0.484069171,0.484069171,0.484069171,62291,62291,62291,0,0,0,62291,62291,62291,0,0,0
5934,62300,62300,62300,0.991502735,0.991502735,0.991502735,62300,62300,62300,0.429593781,0.429593781,0.429593781,62300,62300,62300,0.909193969,0.909193969,0.909193969,62300,62300,62300,0.504298764,0.504298764,0.504298764,62300,62300,62300,0,0,0,62300,62300,62300,0,0,0
5935,62309,62309,62309,0.992801499,0.992801499,0.992801499,62309,62309,62309,0.478882801,0.478882801,0.478882801,62309,62309,62309,0.869126913,0.869126913,0.869126913,62309,62309,62309,0.539705099,0.539705099,0.539705099,62309,62309,62309,0,0,0,62309,62309,62309,0,0,0
5936,62318,62318,62318,0.995000472,0.995000472,0.995000472,62318,62318,62318,0.497169178,0.497169178,0.497169178,62318,62318,62318,0.908941606,0.908941606,0.908941606,62318,62318,62318,0.546863168,0.546863168,0.546863168,62318,62318,62318,0,0,0,62318,62318,62318,0,0,0
5937,62327,62327,62327,0.988612189,0.988612189,0.988612189,62327,62327,62327,0.409497118,0.409497118,0.409497118,62327,62327,62327,0.846429371,0.846429371,0.846429371,62327,62327,62327,0.451311486,0.451311486,0.451311486,62327,62327,62327,0,0,0,62327,62327,62327,0,0,0
5938,62336,62336,62336,0.991449426,0.991449426,0.991449426,62336,62336,62336,0.469261881,0.469261881,0.469261881,62336,62336,62336,0.882697947,0.882697947,0.882697947,62336,62336,62336,0.529392786,0.529392786,0.529392786,62336,62336,62336,0,0,0,62336,62336,62336,0,0,0
5939,62345,62345,62345,0.994383808,0.994383808,0.994383808,62345,62345,62345,0.456532588,0.456532588,0.456532588,62345,62345,62345,0.894399067,0.894399067,0.894399067,62345,62345,62345,0.500721848,0.500721848,0.500721848,62345,62345,62345,0,0,0,62345,62345,62345,0,0,0
5940,62354,62354,62354,0.990546461,0.990546461,0.990546461,62354,62354,62354,0.426259449,0.426259449,0.426259449,62354,62354,62354,0.886446105,0.886446105,0.886446105,62354,62354,62354,0.459519653,0.459519653,0.459519653,62354,62354,62354,0,0,0,62354,62354,62354,0,0,0
5941,62363,62363,62363,0.991226986,0.991226986,0.991226986,62363,62363,62363,0.412602368,0.412602368,0.412602368,62363,62363,62363,0.889880254,0.889880254,0.889880254,62363,62363,62363,0.490984171,0.490984171,0.490984171,62363,62363,62363,0,0,0,62363,62363,62363,0,0,0
5942,62372,62372,62372,0.991360933,0.991360933,0.991360933,62372,62372,62372,0.437345943,0.437345943,0.437345943,62372,62372,62372,0.901013902,0.901013902,0.901013902,62372,62372,62372,0.494038559,0.494038559,0.494038559,62372,62372,62372,0,0,0,62372,62372,62372,0,0,0
5943,62381,62381,62381,0.986904369,0.986904369,0.986904369,62381,62381,62381,0.443054444,0.443054444,0.443054444,62381,62381,62381,0.872834191,0.872834191,0.872834191,62381,62381,62381,0.487749432,0.487749432,0.487749432,62381,62381,62381,0,0,0,62381,62381,62381,0,0,0
5944,62390,62390,62390,0.987675864,0.987675864,0.987675864,62390,62390,62390,0.45023434,0.45023434,0.45023434,62390,62390,62390,0.866196484,0.866196484,0.866196484,62390,62390,62390,0.518123393,0.518123393,0.518123393,62390,62390,62390,0,0,0,62390,62390,62390,0,0,0
5945,62399,62399,62399,0.988490628,0.988490628,0.988490628,62399,62399,62399,0.548381129,0.548381129,0.548381129,62399,62399,62399,0.918326073,0.918326073,0.918326073,62399,62399,62399,0.613150103,0.613150103,0.613150103,62399,62399,62399,0,0,0,62399,62399,62399,0,0,0
5946,62408,62408,62408,0.993433595,0.993433595,0.993433595,62408,62408,62408,0.454451499,0.454451499,0.454451499,62408,62408,62408,0.869633714,0.869633714,0.869633714,62408,62408,62408,0.475346594,0.475346594,0.475346594,62408,62408,62408,0,0,0,62408,62408,62408,0,0,0
5947,62417,62417,62417,0.990020471,0.990020471,0.990020471,62417,62417,62417,0.406568215,0.406568215,0.406568215,62417,62417,62417,0.83941349,0.83941349,0.83941349,62417,62417,62417,0.438225977,0.438225977,0.438225977,62417,62417,62417,0,0,0,62417,62417,62417,0,0,0
5948,62426,62426,62426,0.985837734,0.985837734,0.985837734,62426,62426,62426,0.420838123,0.420838123,0.420838123,62426,62426,62426,0.872830322,0.872830322,0.872830322,62426,62426,62426,0.48441586,0.48441586,0.48441586,62426,62426,62426,0,0,0,62426,62426,62426,0,0,0
5949,62435,62435,62435,0.994245331,0.994245331,0.994245331,62435,62435,62435,0.472500491,0.472500491,0.472500491,62435,62435,62435,0.893211289,0.893211289,0.893211289,62435,62435,62435,0.532344928,0.532344928,0.532344928,62435,62435,62435,0,0,0,62435,62435,62435,0,0,0
5950,62444,62444,62444,0.982326346,0.982326346,0.982326346,62444,62444,62444,0.376737769,0.376737769,0.376737769,62444,62444,62444,0.893949085,0.893949085,0.893949085,62444,62444,62444,0.433469771,0.433469771,0.433469771,62444,62444,62444,0,0,0,62444,62444,62444,0,0,0
5951,62453,62453,62453,0.991243433,0.991243433,0.991243433,62453,62453,62453,0.450032823,0.450032823,0.450032823,62453,62453,62453,0.889513694,0.889513694,0.889513694,62453,62453,62453,0.497816594,0.497816594,0.497816594,62453,62453,62453,0,0,0,62453,62453,62453,0,0,0
5952,62462,62462,62462,0.98776908,0.98776908,0.98776908,62462,62462,62462,0.414608513,0.414608513,0.414608513,62462,62462,62462,0.888400601,0.888400601,0.888400601,62462,62462,62462,0.44946987,0.44946987,0.44946987,62462,62462,62462,0,0,0,62462,62462,62462,0,0,0
5953,62471,62471,62471,0.991289688,0.991289688,0.991289688,62471,62471,62471,0.505265211,0.505265211,0.505265211,62471,62471,62471,0.915700462,0.915700462,0.915700462,62471,62471,62471,0.546455531,0.546455531,0.546455531,62471,62471,62471,0,0,0,62471,62471,62471,0,0,0
5954,62480,62480,62480,0.988975992,0.988975992,0.988975992,62480,62480,62480,0.406943596,0.406943596,0.406943596,62480,62480,62480,0.899953467,0.899953467,0.899953467,62480,62480,62480,0.45819461,0.45819461,0.45819461,62480,62480,62480,0,0,0,62480,62480,62480,0,0,0
5955,62489,62489,62489,0.988007055,0.988007055,0.988007055,62489,62489,62489,0.528132748,0.528132748,0.528132748,62489,62489,62489,0.917402165,0.917402165,0.917402165,62489,62489,62489,0.575692482,0.575692482,0.575692482,62489,62489,62489,0,0,0,62489,62489,62489,0,0,0
5956,62498,62498,62498,0.989096152,0.989096152,0.989096152,62498,62498,62498,0.524368449,0.524368449,0.524368449,62498,62498,62498,0.919893076,0.919893076,0.919893076,62498,62498,62498,0.581140612,0.581140612,0.581140612,62498,62498,62498,0,0,0,62498,62498,62498,0,0,0
5957,62507,62507,62507,0.989240506,0.989240506,0.989240506,62507,62507,62507,0.472959736,0.472959736,0.472959736,62507,62507,62507,0.871432893,0.871432893,0.871432893,62507,62507,62507,0.482448245,0.482448245,0.482448245,62507,62507,62507,0,0,0,62507,62507,62507,0,0,0
5958,62516,62516,62516,0.991822992,0.991822992,0.991822992,62516,62516,62516,0.491121989,0.491121989,0.491121989,62516,62516,62516,0.902113058,0.902113058,0.902113058,62516,62516,62516,0.550597948,0.550597948,0.550597948,62516,62516,62516,0,0,0,62516,62516,62516,0,0,0
5959,62525,62525,62525,0.991626491,0.991626491,0.991626491,62525,62525,62525,0.404917687,0.404917687,0.404917687,62525,62525,62525,0.885011511,0.885011511,0.885011511,62525,62525,62525,0.459936818,0.459936818,0.459936818,62525,62525,62525,0,0,0,62525,62525,62525,0,0,0
5960,62534,62534,62534,0.990184602,0.990184602,0.990184602,62534,62534,62534,0.51855417,0.51855417,0.51855417,62534,62534,62534,0.920229629,0.920229629,0.920229629,62534,62534,62534,0.56487431,0.56487431,0.56487431,62534,62534,62534,0,0,0,62534,62534,62534,0,0,0
5961,62543,62543,62543,0.988661037,0.988661037,0.988661037,62543,62543,62543,0.416726748,0.416726748,0.416726748,62543,62543,62543,0.853427896,0.853427896,0.853427896,62543,62543,62543,0.468413723,0.468413723,0.468413723,62543,62543,62543,0,0,0,62543,62543,62543,0,0,0
5962,62552,62552,62552,0.991466083,0.991466083,0.991466083,62552,62552,62552,0.453131354,0.453131354,0.453131354,62552,62552,62552,0.855900376,0.855900376,0.855900376,62552,62552,62552,0.529154241,0.529154241,0.529154241,62552,62552,62552,0,0,0,62552,62552,62552,0,0,0
5963,62561,62561,62561,0.992569511,0.992569511,0.992569511,62561,62561,62561,0.412637529,0.412637529,0.412637529,62561,62561,62561,0.901160196,0.901160196,0.901160196,62561,62561,62561,0.485559089,0.485559089,0.485559089,62561,62561,62561,0,0,0,62561,62561,62561,0,0,0
5964,62570,62570,62570,0.98995487,0.98995487,0.98995487,62570,62570,62570,0.360366182,0.360366182,0.360366182,62570,62570,62570,0.905550146,0.905550146,0.905550146,62570,62570,62570,0.403485782,0.403485782,0.403485782,62570,62570,62570,0,0,0,62570,62570,62570,0,0,0
5965,62579,62579,62579,0.99270073,0.99270073,0.99270073,62579,62579,62579,0.433559356,0.433559356,0.433559356,62579,62579,62579,0.887205387,0.887205387,0.887205387,62579,62579,62579,0.48342246,0.48342246,0.48342246,62579,62579,62579,0,0,0,62579,62579,62579,0,0,0
5966,62588,62588,62588,0.994722066,0.994722066,0.994722066,62588,62588,62588,0.441919707,0.441919707,0.441919707,62588,62588,62588,0.909902252,0.909902252,0.909902252,62588,62588,62588,0.50370844,0.50370844,0.50370844,62588,62588,62588,0,0,0,62588,62588,62588,0,0,0
5967,62597,62597,62597,0.988545246,0.988545246,0.988545246,62597,62597,62597,0.427817698,0.427817698,0.427817698,62597,62597,62597,0.898514851,0.898514851,0.898514851,62597,62597,62597,0.482290028,0.482290028,0.482290028,62597,62597,62597,0,0,0,62597,62597,62597,0,0,0
5968,62606,62606,62606,0.989523488,0.989523488,0.989523488,62606,62606,62606,0.536006355,0.536006355,0.536006355,62606,62606,62606,0.896894809,0.896894809,0.896894809,62606,62606,62606,0.579071597,0.579071597,0.579071597,62606,62606,62606,0,0,0,62606,62606,62606,0,0,0
5969,62615,62615,62615,0.988778055,0.988778055,0.988778055,62615,62615,62615,0.402066116,0.402066116,0.402066116,62615,62615,62615,0.860615699,0.860615699,0.860615699,62615,62615,62615,0.449996772,0.449996772,0.449996772,62615,62615,62615,0,0,0,62615,62615,62615,0,0,0
5970,62624,62624,62624,0.992055926,0.992055926,0.992055926,62624,62624,62624,0.461631056,0.461631056,0.461631056,62624,62624,62624,0.910621242,0.910621242,0.910621242,62624,62624,62624,0.524392565,0.524392565,0.524392565,62624,62624,62624,0,0,0,62624,62624,62624,0,0,0
5971,62633,62633,62633,0.995237591,0.995237591,0.995237591,62633,62633,62633,0.45502489,0.45502489,0.45502489,62633,62633,62633,0.90021908,0.90021908,0.90021908,62633,62633,62633,0.503795399,0.503795399,0.503795399,62633,62633,62633,0,0,0,62633,62633,62633,0,0,0
5972,62642,62642,62642,0.992817082,0.992817082,0.992817082,62642,62642,62642,0.479595311,0.479595311,0.479595311,62642,62642,62642,0.910292729,0.910292729,0.910292729,62642,62642,62642,0.51704381,0.51704381,0.51704381,62642,62642,62642,0,0,0,62642,62642,62642,0,0,0
5973,62651,62651,62651,0.992587676,0.992587676,0.992587676,62651,62651,62651,0.445872767,0.445872767,0.445872767,62651,62651,62651,0.910751785,0.910751785,0.910751785,62651,62651,62651,0.515209125,0.515209125,0.515209125,62651,62651,62651,0,0,0,62651,62651,62651,0,0,0
5974,62660,62660,62660,0.994844339,0.994844339,0.994844339,62660,62660,62660,0.490541487,0.490541487,0.490541487,62660,62660,62660,0.891189759,0.891189759,0.891189759,62660,62660,62660,0.536869896,0.536869896,0.536869896,62660,62660,62660,0,0,0,62660,62660,62660,0,0,0
5975,62669,62669,62669,0.995714286,0.995714286,0.995714286,62669,62669,62669,0.416324461,0.416324461,0.416324461,62669,62669,62669,0.819651996,0.819651996,0.819651996,62669,62669,62669,0.462374636,0.462374636,0.462374636,62669,62669,62669,0,0,0,62669,62669,62669,0,0,0
5976,62678,62678,62678,0.993580016,0.993580016,0.993580016,62678,62678,62678,0.423598462,0.423598462,0.423598462,62678,62678,62678,0.906666667,0.906666667,0.906666667,62678,62678,62678,0.516059087,0.516059087,0.516059087,62678,62678,62678,0,0,0,62678,62678,62678,0,0,0
5977,62687,62687,62687,0.98955946,0.98955946,0.98955946,62687,62687,62687,0.413272679,0.413272679,0.413272679,62687,62687,62687,0.865431104,0.865431104,0.865431104,62687,62687,62687,0.450515858,0.450515858,0.450515858,62687,62687,62687,0,0,0,62687,62687,62687,0,0,0
5978,62696,62696,62696,0.987970423,0.987970423,0.987970423,62696,62696,62696,0.438847491,0.438847491,0.438847491,62696,62696,62696,0.898203593,0.898203593,0.898203593,62696,62696,62696,0.515788805,0.515788805,0.515788805,62696,62696,62696,0,0,0,62696,62696,62696,0,0,0
5979,62705,62705,62705,0.993284554,0.993284554,0.993284554,62705,62705,62705,0.473508961,0.473508961,0.473508961,62705,62705,62705,0.885050078,0.885050078,0.885050078,62705,62705,62705,0.521693675,0.521693675,0.521693675,62705,62705,62705,0,0,0,62705,62705,62705,0,0,0
5980,62714,62714,62714,0.990636255,0.990636255,0.990636255,62714,62714,62714,0.41021987,0.41021987,0.41021987,62714,62714,62714,0.91848208,0.91848208,0.91848208,62714,62714,62714,0.452737261,0.452737261,0.452737261,62714,62714,62714,0,0,0,62714,62714,62714,0,0,0
5981,62723,62723,62723,0.98443629,0.98443629,0.98443629,62723,62723,62723,0.412334131,0.412334131,0.412334131,62723,62723,62723,0.898397011,0.898397011,0.898397011,62723,62723,62723,0.457596435,0.457596435,0.457596435,62723,62723,62723,0,0,0,62723,62723,62723,0,0,0
5982,62732,62732,62732,0.994092827,0.994092827,0.994092827,62732,62732,62732,0.427899604,0.427899604,0.427899604,62732,62732,62732,0.896060641,0.896060641,0.896060641,62732,62732,62732,0.495194948,0.495194948,0.495194948,62732,62732,62732,0,0,0,62732,62732,62732,0,0,0
5983,62741,62741,62741,0.990739627,0.990739627,0.990739627,62741,62741,62741,0.415741262,0.415741262,0.415741262,62741,62741,62741,0.89571949,0.89571949,0.89571949,62741,62741,62741,0.471258842,0.471258842,0.471258842,62741,62741,62741,0,0,0,62741,62741,62741,0,0,0
5984,62750,62750,62750,0.991791893,0.991791893,0.991791893,62750,62750,62750,0.398575778,0.398575778,0.398575778,62750,62750,62750,0.906710697,0.906710697,0.906710697,62750,62750,62750,0.463839733,0.463839733,0.463839733,62750,62750,62750,0,0,0,62750,62750,62750,0,0,0
5985,62759,62759,62759,0.990442711,0.990442711,0.990442711,62759,62759,62759,0.459149223,0.459149223,0.459149223,62759,62759,62759,0.870167459,0.870167459,0.870167459,62759,62759,62759,0.513562614,0.513562614,0.513562614,62759,62759,62759,0,0,0,62759,62759,62759,0,0,0
5986,62768,62768,62768,0.98932008,0.98932008,0.98932008,62768,62768,62768,0.460129798,0.460129798,0.460129798,62768,62768,62768,0.872243272,0.872243272,0.872243272,62768,62768,62768,0.517792807,0.517792807,0.517792807,62768,62768,62768,0,0,0,62768,62768,62768,0,0,0
5987,62777,62777,62777,0.985823611,0.985823611,0.985823611,62777,62777,62777,0.4069804,0.4069804,0.4069804,62777,62777,62777,0.890256896,0.890256896,0.890256896,62777,62777,62777,0.486212004,0.486212004,0.486212004,62777,62777,62777,0,0,0,62777,62777,62777,0,0,0
5988,62786,62786,62786,0.990884607,0.990884607,0.990884607,62786,62786,62786,0.464670422,0.464670422,0.464670422,62786,62786,62786,0.884969037,0.884969037,0.884969037,62786,62786,62786,0.509039515,0.509039515,0.509039515,62786,62786,62786,0,0,0,62786,62786,62786,0,0,0
5989,62795,62795,62795,0.993720883,0.993720883,0.993720883,62795,62795,62795,0.486079531,0.486079531,0.486079531,62795,62795,62795,0.889442139,0.889442139,0.889442139,62795,62795,62795,0.51398622,0.51398622,0.51398622,62795,62795,62795,0,0,0,62795,62795,62795,0,0,0
5990,62804,62804,62804,0.991437309,0.991437309,0.991437309,62804,62804,62804,0.473804781,0.473804781,0.473804781,62804,62804,62804,0.879755888,0.879755888,0.879755888,62804,62804,62804,0.531286749,0.531286749,0.531286749,62804,62804,62804,0,0,0,62804,62804,62804,0,0,0
5991,62813,62813,62813,0.987582959,0.987582959,0.987582959,62813,62813,62813,0.452865799,0.452865799,0.452865799,62813,62813,62813,0.912203424,0.912203424,0.912203424,62813,62813,62813,0.508053773,0.508053773,0.508053773,62813,62813,62813,0,0,0,62813,62813,62813,0,0,0
5992,62822,62822,62822,0.985763755,0.985763755,0.985763755,62822,62822,62822,0.388728324,0.388728324,0.388728324,62822,62822,62822,0.896833013,0.896833013,0.896833013,62822,62822,62822,0.44321898,0.44321898,0.44321898,62822,62822,62822,0,0,0,62822,62822,62822,0,0,0
5993,62831,62831,62831,0.989415323,0.989415323,0.989415323,62831,62831,62831,0.40450963,0.40450963,0.40450963,62831,62831,62831,0.819989017,0.819989017,0.819989017,62831,62831,62831,0.454821025,0.454821025,0.454821025,62831,62831,62831,0,0,0,62831,62831,62831,0,0,0
5994,62840,62840,62840,0.998359621,0.998359621,0.998359621,62840,62840,62840,0.397515528,0.397515528,0.397515528,62840,62840,62840,0.90197949,0.90197949,0.90197949,62840,62840,62840,0.441469489,0.441469489,0.441469489,62840,62840,62840,0,0,0,62840,62840,62840,0,0,0
5995,62849,62849,62849,0.989534536,0.989534536,0.989534536,62849,62849,62849,0.477965936,0.477965936,0.477965936,62849,62849,62849,0.896776598,0.896776598,0.896776598,62849,62849,62849,0.532321737,0.532321737,0.532321737,62849,62849,62849,0,0,0,62849,62849,62849,0,0,0
5996,62858,62858,62858,0.988117189,0.988117189,0.988117189,62858,62858,62858,0.468288831,0.468288831,0.468288831,62858,62858,62858,0.909460637,0.909460637,0.909460637,62858,62858,62858,0.519638998,0.519638998,0.519638998,62858,62858,62858,0,0,0,62858,62858,62858,0,0,0
5997,62867,62867,62867,0.993309721,0.993309721,0.993309721,62867,62867,62867,0.57465026,0.57465026,0.57465026,62867,62867,62867,0.894553021,0.894553021,0.894553021,62867,62867,62867,0.588976905,0.588976905,0.588976905,62867,62867,62867,0,0,0,62867,62867,62867,0,0,0
5998,62876,62876,62876,0.990259021,0.990259021,0.990259021,62876,62876,62876,0.440868301,0.440868301,0.440868301,62876,62876,62876,0.891496809,0.891496809,0.891496809,62876,62876,62876,0.511309207,0.511309207,0.511309207,62876,62876,62876,0,0,0,62876,62876,62876,0,0,0
5999,62885,62885,62885,0.989018967,0.989018967,0.989018967,62885,62885,62885,0.510763395,0.510763395,0.510763395,62885,62885,62885,0.87553065,0.87553065,0.87553065,62885,62885,62885,0.568788501,0.568788501,0.568788501,62885,62885,62885,0,0,0,62885,62885,62885,0,0,0
