training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MAX
33,305,305,305,0.142074793,0.142074793,0.142074793,305,305,305,0.052575337,0.052575337,0.052575337,305,305,305,0.213167053,0.213167053,0.213167053,305,305,305,0.074472027,0.074472027,0.074472027,305,305,305,0.217739353,0.217739353,0.217739353,305,305,305,0.35052717,0.35052717,0.35052717
34,314,314,314,0.160486674,0.160486674,0.160486674,314,314,314,0.039554531,0.039554531,0.039554531,314,314,314,0.18905884,0.18905884,0.18905884,314,314,314,0.08474867,0.08474867,0.08474867,314,314,314,0.209605692,0.209605692,0.209605692,314,314,314,0.375097035,0.375097035,0.375097035
35,323,323,323,0.156511525,0.156511525,0.156511525,323,323,323,0.050937245,0.050937245,0.050937245,323,323,323,0.181382228,0.181382228,0.181382228,323,323,323,0.073819432,0.073819432,0.073819432,323,323,323,0.229198415,0.229198415,0.229198415,323,323,323,0.364447925,0.364447925,0.364447925
36,332,332,332,0.142209265,0.142209265,0.142209265,332,332,332,0.04586759,0.04586759,0.04586759,332,332,332,0.182902006,0.182902006,0.182902006,332,332,332,0.090352221,0.090352221,0.090352221,332,332,332,0.182310757,0.182310757,0.182310757,332,332,332,0.339855484,0.339855484,0.339855484
37,341,341,341,0.135766807,0.135766807,0.135766807,341,341,341,0.051125783,0.051125783,0.051125783,341,341,341,0.212277534,0.212277534,0.212277534,341,341,341,0.076011694,0.076011694,0.076011694,341,341,341,0.211333151,0.211333151,0.211333151,341,341,341,0.381811054,0.381811054,0.381811054
38,350,350,350,0.142944113,0.142944113,0.142944113,350,350,350,0.062684802,0.062684802,0.062684802,350,350,350,0.28055466,0.28055466,0.28055466,350,350,350,0.062360179,0.062360179,0.062360179,350,350,350,0.297588042,0.297588042,0.297588042,350,350,350,0.450969529,0.450969529,0.450969529
39,359,359,359,0.175611305,0.175611305,0.175611305,359,359,359,0.050361287,0.050361287,0.050361287,359,359,359,0.178379988,0.178379988,0.178379988,359,359,359,0.084321476,0.084321476,0.084321476,359,359,359,0.189116294,0.189116294,0.189116294,359,359,359,0.351786613,0.351786613,0.351786613
40,368,368,368,0.109085731,0.109085731,0.109085731,368,368,368,0.050623886,0.050623886,0.050623886,368,368,368,0.247616658,0.247616658,0.247616658,368,368,368,0.058918744,0.058918744,0.058918744,368,368,368,0.246273667,0.246273667,0.246273667,368,368,368,0.390471017,0.390471017,0.390471017
41,377,377,377,0.176984877,0.176984877,0.176984877,377,377,377,0.055190539,0.055190539,0.055190539,377,377,377,0.208575003,0.208575003,0.208575003,377,377,377,0.088459992,0.088459992,0.088459992,377,377,377,0.217675545,0.217675545,0.217675545,377,377,377,0.448116231,0.448116231,0.448116231
42,386,386,386,0.149335925,0.149335925,0.149335925,386,386,386,0.059029296,0.059029296,0.059029296,386,386,386,0.189148681,0.189148681,0.189148681,386,386,386,0.086656442,0.086656442,0.086656442,386,386,386,0.214100906,0.214100906,0.214100906,386,386,386,0.347766675,0.347766675,0.347766675
43,395,395,395,0.170728387,0.170728387,0.170728387,395,395,395,0.052269115,0.052269115,0.052269115,395,395,395,0.218474511,0.218474511,0.218474511,395,395,395,0.090952762,0.090952762,0.090952762,395,395,395,0.211502783,0.211502783,0.211502783,395,395,395,0.399785473,0.399785473,0.399785473
44,404,404,404,0.127873804,0.127873804,0.127873804,404,404,404,0.055328798,0.055328798,0.055328798,404,404,404,0.191250959,0.191250959,0.191250959,404,404,404,0.064503124,0.064503124,0.064503124,404,404,404,0.234126984,0.234126984,0.234126984,404,404,404,0.334255099,0.334255099,0.334255099
45,413,413,413,0.173529412,0.173529412,0.173529412,413,413,413,0.070175439,0.070175439,0.070175439,413,413,413,0.164152618,0.164152618,0.164152618,413,413,413,0.082984531,0.082984531,0.082984531,413,413,413,0.16629291,0.16629291,0.16629291,413,413,413,0.361324012,0.361324012,0.361324012
