training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MAX
5303,56621,56621,56621,0.531334268,0.531334268,0.531334268,56621,56621,56621,0.490522154,0.490522154,0.490522154,56621,56621,56621,0.444259171,0.444259171,0.444259171,56621,56621,56621,0.380447433,0.380447433,0.380447433,56621,56621,56621,0.589552999,0.589552999,0.589552999,56621,56621,56621,0.593089634,0.593089634,0.593089634
5304,56630,56630,56630,0.394108823,0.394108823,0.394108823,56630,56630,56630,0.345743146,0.345743146,0.345743146,56630,56630,56630,0.306753813,0.306753813,0.306753813,56630,56630,56630,0.261112838,0.261112838,0.261112838,56630,56630,56630,0.442599923,0.442599923,0.442599923,56630,56630,56630,0.466968098,0.466968098,0.466968098
5305,56639,56639,56639,0.533820841,0.533820841,0.533820841,56639,56639,56639,0.500705372,0.500705372,0.500705372,56639,56639,56639,0.452459765,0.452459765,0.452459765,56639,56639,56639,0.377680251,0.377680251,0.377680251,56639,56639,56639,0.588623093,0.588623093,0.588623093,56639,56639,56639,0.598869009,0.598869009,0.598869009
5306,56648,56648,56648,0.519323671,0.519323671,0.519323671,56648,56648,56648,0.474261824,0.474261824,0.474261824,56648,56648,56648,0.40564137,0.40564137,0.40564137,56648,56648,56648,0.323840763,0.323840763,0.323840763,56648,56648,56648,0.595658984,0.595658984,0.595658984,56648,56648,56648,0.61412688,0.61412688,0.61412688
5307,56657,56657,56657,0.485133739,0.485133739,0.485133739,56657,56657,56657,0.422562606,0.422562606,0.422562606,56657,56657,56657,0.391304348,0.391304348,0.391304348,56657,56657,56657,0.311254712,0.311254712,0.311254712,56657,56657,56657,0.546876608,0.546876608,0.546876608,56657,56657,56657,0.553079948,0.553079948,0.553079948
5308,56666,56666,56666,0.503954306,0.503954306,0.503954306,56666,56666,56666,0.470120427,0.470120427,0.470120427,56666,56666,56666,0.414211027,0.414211027,0.414211027,56666,56666,56666,0.330461227,0.330461227,0.330461227,56666,56666,56666,0.539076284,0.539076284,0.539076284,56666,56666,56666,0.556184983,0.556184983,0.556184983
5309,56675,56675,56675,0.464492954,0.464492954,0.464492954,56675,56675,56675,0.416839609,0.416839609,0.416839609,56675,56675,56675,0.371332518,0.371332518,0.371332518,56675,56675,56675,0.306766917,0.306766917,0.306766917,56675,56675,56675,0.531383917,0.531383917,0.531383917,56675,56675,56675,0.527551273,0.527551273,0.527551273
5310,56684,56684,56684,0.48963399,0.48963399,0.48963399,56684,56684,56684,0.457289833,0.457289833,0.457289833,56684,56684,56684,0.409141896,0.409141896,0.409141896,56684,56684,56684,0.311719573,0.311719573,0.311719573,56684,56684,56684,0.567526555,0.567526555,0.567526555,56684,56684,56684,0.563691306,0.563691306,0.563691306
5311,56693,56693,56693,0.487606037,0.487606037,0.487606037,56693,56693,56693,0.437843527,0.437843527,0.437843527,56693,56693,56693,0.381023348,0.381023348,0.381023348,56693,56693,56693,0.305933587,0.305933587,0.305933587,56693,56693,56693,0.539241009,0.539241009,0.539241009,56693,56693,56693,0.533449511,0.533449511,0.533449511
5312,56702,56702,56702,0.484086533,0.484086533,0.484086533,56702,56702,56702,0.424984985,0.424984985,0.424984985,56702,56702,56702,0.368023398,0.368023398,0.368023398,56702,56702,56702,0.324303102,0.324303102,0.324303102,56702,56702,56702,0.534199872,0.534199872,0.534199872,56702,56702,56702,0.541521579,0.541521579,0.541521579
5313,56711,56711,56711,0.503827926,0.503827926,0.503827926,56711,56711,56711,0.454568593,0.454568593,0.454568593,56711,56711,56711,0.389734331,0.389734331,0.389734331,56711,56711,56711,0.322208488,0.322208488,0.322208488,56711,56711,56711,0.578845936,0.578845936,0.578845936,56711,56711,56711,0.590182391,0.590182391,0.590182391
5314,56720,56720,56720,0.553128103,0.553128103,0.553128103,56720,56720,56720,0.526205231,0.526205231,0.526205231,56720,56720,56720,0.472344162,0.472344162,0.472344162,56720,56720,56720,0.371959943,0.371959943,0.371959943,56720,56720,56720,0.614015777,0.614015777,0.614015777,56720,56720,56720,0.628091631,0.628091631,0.628091631
5315,56729,56729,56729,0.565749235,0.565749235,0.565749235,56729,56729,56729,0.531985702,0.531985702,0.531985702,56729,56729,56729,0.45656144,0.45656144,0.45656144,56729,56729,56729,0.369721791,0.369721791,0.369721791,56729,56729,56729,0.624048053,0.624048053,0.624048053,56729,56729,56729,0.631790319,0.631790319,0.631790319
5316,56738,56738,56738,0.449912127,0.449912127,0.449912127,56738,56738,56738,0.406127451,0.406127451,0.406127451,56738,56738,56738,0.350786021,0.350786021,0.350786021,56738,56738,56738,0.292982947,0.292982947,0.292982947,56738,56738,56738,0.516244349,0.516244349,0.516244349,56738,56738,56738,0.527041357,0.527041357,0.527041357
5317,56747,56747,56747,0.519761537,0.519761537,0.519761537,56747,56747,56747,0.468625147,0.468625147,0.468625147,56747,56747,56747,0.40631553,0.40631553,0.40631553,56747,56747,56747,0.339244619,0.339244619,0.339244619,56747,56747,56747,0.587044936,0.587044936,0.587044936,56747,56747,56747,0.606861199,0.606861199,0.606861199
5318,56756,56756,56756,0.516737018,0.516737018,0.516737018,56756,56756,56756,0.468753249,0.468753249,0.468753249,56756,56756,56756,0.406502267,0.406502267,0.406502267,56756,56756,56756,0.331849654,0.331849654,0.331849654,56756,56756,56756,0.576544315,0.576544315,0.576544315,56756,56756,56756,0.584238662,0.584238662,0.584238662
5319,56765,56765,56765,0.441757993,0.441757993,0.441757993,56765,56765,56765,0.39714078,0.39714078,0.39714078,56765,56765,56765,0.342535915,0.342535915,0.342535915,56765,56765,56765,0.255874674,0.255874674,0.255874674,56765,56765,56765,0.511555278,0.511555278,0.511555278,56765,56765,56765,0.514990822,0.514990822,0.514990822
5320,56774,56774,56774,0.486096257,0.486096257,0.486096257,56774,56774,56774,0.434206738,0.434206738,0.434206738,56774,56774,56774,0.358383234,0.358383234,0.358383234,56774,56774,56774,0.298007968,0.298007968,0.298007968,56774,56774,56774,0.558384333,0.558384333,0.558384333,56774,56774,56774,0.570569125,0.570569125,0.570569125
5321,56783,56783,56783,0.472687466,0.472687466,0.472687466,56783,56783,56783,0.451032414,0.451032414,0.451032414,56783,56783,56783,0.397815534,0.397815534,0.397815534,56783,56783,56783,0.338834176,0.338834176,0.338834176,56783,56783,56783,0.531983806,0.531983806,0.531983806,56783,56783,56783,0.540719887,0.540719887,0.540719887
5322,56792,56792,56792,0.465378216,0.465378216,0.465378216,56792,56792,56792,0.440896283,0.440896283,0.440896283,56792,56792,56792,0.397495236,0.397495236,0.397495236,56792,56792,56792,0.321903636,0.321903636,0.321903636,56792,56792,56792,0.527120838,0.527120838,0.527120838,56792,56792,56792,0.539343886,0.539343886,0.539343886
5323,56801,56801,56801,0.547816265,0.547816265,0.547816265,56801,56801,56801,0.497966653,0.497966653,0.497966653,56801,56801,56801,0.444633369,0.444633369,0.444633369,56801,56801,56801,0.380305993,0.380305993,0.380305993,56801,56801,56801,0.606608758,0.606608758,0.606608758,56801,56801,56801,0.619833973,0.619833973,0.619833973
5324,56810,56810,56810,0.488825623,0.488825623,0.488825623,56810,56810,56810,0.443400515,0.443400515,0.443400515,56810,56810,56810,0.377579304,0.377579304,0.377579304,56810,56810,56810,0.276181037,0.276181037,0.276181037,56810,56810,56810,0.58129761,0.58129761,0.58129761,56810,56810,56810,0.584054787,0.584054787,0.584054787
5325,56819,56819,56819,0.462394351,0.462394351,0.462394351,56819,56819,56819,0.420981387,0.420981387,0.420981387,56819,56819,56819,0.386382377,0.386382377,0.386382377,56819,56819,56819,0.319451372,0.319451372,0.319451372,56819,56819,56819,0.524928705,0.524928705,0.524928705,56819,56819,56819,0.536826783,0.536826783,0.536826783
5326,56828,56828,56828,0.509310114,0.509310114,0.509310114,56828,56828,56828,0.449269193,0.449269193,0.449269193,56828,56828,56828,0.389940828,0.389940828,0.389940828,56828,56828,56828,0.281699037,0.281699037,0.281699037,56828,56828,56828,0.592137,0.592137,0.592137,56828,56828,56828,0.597613365,0.597613365,0.597613365
5327,56837,56837,56837,0.463128349,0.463128349,0.463128349,56837,56837,56837,0.411891892,0.411891892,0.411891892,56837,56837,56837,0.34554526,0.34554526,0.34554526,56837,56837,56837,0.296693476,0.296693476,0.296693476,56837,56837,56837,0.529073182,0.529073182,0.529073182,56837,56837,56837,0.548631869,0.548631869,0.548631869
5328,56846,56846,56846,0.512502977,0.512502977,0.512502977,56846,56846,56846,0.486513487,0.486513487,0.486513487,56846,56846,56846,0.427615735,0.427615735,0.427615735,56846,56846,56846,0.342716905,0.342716905,0.342716905,56846,56846,56846,0.579503039,0.579503039,0.579503039,56846,56846,56846,0.604546385,0.604546385,0.604546385
5329,56855,56855,56855,0.487396858,0.487396858,0.487396858,56855,56855,56855,0.431229478,0.431229478,0.431229478,56855,56855,56855,0.380503535,0.380503535,0.380503535,56855,56855,56855,0.320534661,0.320534661,0.320534661,56855,56855,56855,0.552852262,0.552852262,0.552852262,56855,56855,56855,0.567844926,0.567844926,0.567844926
5330,56864,56864,56864,0.495240362,0.495240362,0.495240362,56864,56864,56864,0.431233596,0.431233596,0.431233596,56864,56864,56864,0.379811575,0.379811575,0.379811575,56864,56864,56864,0.29878317,0.29878317,0.29878317,56864,56864,56864,0.572333224,0.572333224,0.572333224,56864,56864,56864,0.570907922,0.570907922,0.570907922
5331,56873,56873,56873,0.501077844,0.501077844,0.501077844,56873,56873,56873,0.459794358,0.459794358,0.459794358,56873,56873,56873,0.40877915,0.40877915,0.40877915,56873,56873,56873,0.309491678,0.309491678,0.309491678,56873,56873,56873,0.548793981,0.548793981,0.548793981,56873,56873,56873,0.554700855,0.554700855,0.554700855
5332,56882,56882,56882,0.475951275,0.475951275,0.475951275,56882,56882,56882,0.449548811,0.449548811,0.449548811,56882,56882,56882,0.387861272,0.387861272,0.387861272,56882,56882,56882,0.317874693,0.317874693,0.317874693,56882,56882,56882,0.537286409,0.537286409,0.537286409,56882,56882,56882,0.552397674,0.552397674,0.552397674
5333,56891,56891,56891,0.542205114,0.542205114,0.542205114,56891,56891,56891,0.488639717,0.488639717,0.488639717,56891,56891,56891,0.436779304,0.436779304,0.436779304,56891,56891,56891,0.355298987,0.355298987,0.355298987,56891,56891,56891,0.594387755,0.594387755,0.594387755,56891,56891,56891,0.607257384,0.607257384,0.607257384
5334,56900,56900,56900,0.464502395,0.464502395,0.464502395,56900,56900,56900,0.420755144,0.420755144,0.420755144,56900,56900,56900,0.368254711,0.368254711,0.368254711,56900,56900,56900,0.302293171,0.302293171,0.302293171,56900,56900,56900,0.537734911,0.537734911,0.537734911,56900,56900,56900,0.570653753,0.570653753,0.570653753
5335,56909,56909,56909,0.424518994,0.424518994,0.424518994,56909,56909,56909,0.384655262,0.384655262,0.384655262,56909,56909,56909,0.337040429,0.337040429,0.337040429,56909,56909,56909,0.287440292,0.287440292,0.287440292,56909,56909,56909,0.479312321,0.479312321,0.479312321,56909,56909,56909,0.482830626,0.482830626,0.482830626
5336,56918,56918,56918,0.476063183,0.476063183,0.476063183,56918,56918,56918,0.412744198,0.412744198,0.412744198,56918,56918,56918,0.365079365,0.365079365,0.365079365,56918,56918,56918,0.288193457,0.288193457,0.288193457,56918,56918,56918,0.551399776,0.551399776,0.551399776,56918,56918,56918,0.55081099,0.55081099,0.55081099
5337,56927,56927,56927,0.556332556,0.556332556,0.556332556,56927,56927,56927,0.510708402,0.510708402,0.510708402,56927,56927,56927,0.455086849,0.455086849,0.455086849,56927,56927,56927,0.373879299,0.373879299,0.373879299,56927,56927,56927,0.605742014,0.605742014,0.605742014,56927,56927,56927,0.624888271,0.624888271,0.624888271
5338,56936,56936,56936,0.548776437,0.548776437,0.548776437,56936,56936,56936,0.520228518,0.520228518,0.520228518,56936,56936,56936,0.464160522,0.464160522,0.464160522,56936,56936,56936,0.384904682,0.384904682,0.384904682,56936,56936,56936,0.61624883,0.61624883,0.61624883,56936,56936,56936,0.621503132,0.621503132,0.621503132
5339,56945,56945,56945,0.554533214,0.554533214,0.554533214,56945,56945,56945,0.503875045,0.503875045,0.503875045,56945,56945,56945,0.461237944,0.461237944,0.461237944,56945,56945,56945,0.389907039,0.389907039,0.389907039,56945,56945,56945,0.602374199,0.602374199,0.602374199,56945,56945,56945,0.625440232,0.625440232,0.625440232
5340,56954,56954,56954,0.52553664,0.52553664,0.52553664,56954,56954,56954,0.48538163,0.48538163,0.48538163,56954,56954,56954,0.444444444,0.444444444,0.444444444,56954,56954,56954,0.364745955,0.364745955,0.364745955,56954,56954,56954,0.568885807,0.568885807,0.568885807,56954,56954,56954,0.575713158,0.575713158,0.575713158
5341,56963,56963,56963,0.485514958,0.485514958,0.485514958,56963,56963,56963,0.434924623,0.434924623,0.434924623,56963,56963,56963,0.385359477,0.385359477,0.385359477,56963,56963,56963,0.299698579,0.299698579,0.299698579,56963,56963,56963,0.545849631,0.545849631,0.545849631,56963,56963,56963,0.574325045,0.574325045,0.574325045
5342,56972,56972,56972,0.413272255,0.413272255,0.413272255,56972,56972,56972,0.388560934,0.388560934,0.388560934,56972,56972,56972,0.324964739,0.324964739,0.324964739,56972,56972,56972,0.252934272,0.252934272,0.252934272,56972,56972,56972,0.495381843,0.495381843,0.495381843,56972,56972,56972,0.5157871,0.5157871,0.5157871
5343,56981,56981,56981,0.519832471,0.519832471,0.519832471,56981,56981,56981,0.465352995,0.465352995,0.465352995,56981,56981,56981,0.387618135,0.387618135,0.387618135,56981,56981,56981,0.306771745,0.306771745,0.306771745,56981,56981,56981,0.592404504,0.592404504,0.592404504,56981,56981,56981,0.604374602,0.604374602,0.604374602
5344,56990,56990,56990,0.486349626,0.486349626,0.486349626,56990,56990,56990,0.451838879,0.451838879,0.451838879,56990,56990,56990,0.402457002,0.402457002,0.402457002,56990,56990,56990,0.322468608,0.322468608,0.322468608,56990,56990,56990,0.551475139,0.551475139,0.551475139,56990,56990,56990,0.562059948,0.562059948,0.562059948
5345,56999,56999,56999,0.529155982,0.529155982,0.529155982,56999,56999,56999,0.467233737,0.467233737,0.467233737,56999,56999,56999,0.409427443,0.409427443,0.409427443,56999,56999,56999,0.344573235,0.344573235,0.344573235,56999,56999,56999,0.582957716,0.582957716,0.582957716,56999,56999,56999,0.58862257,0.58862257,0.58862257
5346,57008,57008,57008,0.461390374,0.461390374,0.461390374,57008,57008,57008,0.436141907,0.436141907,0.436141907,57008,57008,57008,0.400851869,0.400851869,0.400851869,57008,57008,57008,0.327272727,0.327272727,0.327272727,57008,57008,57008,0.503531284,0.503531284,0.503531284,57008,57008,57008,0.503974095,0.503974095,0.503974095
5347,57017,57017,57017,0.464853154,0.464853154,0.464853154,57017,57017,57017,0.424618567,0.424618567,0.424618567,57017,57017,57017,0.372997398,0.372997398,0.372997398,57017,57017,57017,0.301544051,0.301544051,0.301544051,57017,57017,57017,0.503903636,0.503903636,0.503903636,57017,57017,57017,0.53271731,0.53271731,0.53271731
5348,57026,57026,57026,0.515941354,0.515941354,0.515941354,57026,57026,57026,0.479750779,0.479750779,0.479750779,57026,57026,57026,0.427575523,0.427575523,0.427575523,57026,57026,57026,0.34437272,0.34437272,0.34437272,57026,57026,57026,0.570629972,0.570629972,0.570629972,57026,57026,57026,0.58032405,0.58032405,0.58032405
5349,57035,57035,57035,0.535936949,0.535936949,0.535936949,57035,57035,57035,0.489407586,0.489407586,0.489407586,57035,57035,57035,0.427009646,0.427009646,0.427009646,57035,57035,57035,0.355268581,0.355268581,0.355268581,57035,57035,57035,0.588501073,0.588501073,0.588501073,57035,57035,57035,0.610267214,0.610267214,0.610267214
5350,57044,57044,57044,0.461538462,0.461538462,0.461538462,57044,57044,57044,0.401592568,0.401592568,0.401592568,57044,57044,57044,0.357750343,0.357750343,0.357750343,57044,57044,57044,0.280590107,0.280590107,0.280590107,57044,57044,57044,0.534763058,0.534763058,0.534763058,57044,57044,57044,0.534865382,0.534865382,0.534865382
5351,57053,57053,57053,0.537550067,0.537550067,0.537550067,57053,57053,57053,0.493979128,0.493979128,0.493979128,57053,57053,57053,0.45295785,0.45295785,0.45295785,57053,57053,57053,0.383611533,0.383611533,0.383611533,57053,57053,57053,0.590003935,0.590003935,0.590003935,57053,57053,57053,0.600586239,0.600586239,0.600586239
5352,57062,57062,57062,0.554768754,0.554768754,0.554768754,57062,57062,57062,0.496401152,0.496401152,0.496401152,57062,57062,57062,0.448722695,0.448722695,0.448722695,57062,57062,57062,0.364312268,0.364312268,0.364312268,57062,57062,57062,0.600408163,0.600408163,0.600408163,57062,57062,57062,0.604255319,0.604255319,0.604255319
5353,57071,57071,57071,0.48953418,0.48953418,0.48953418,57071,57071,57071,0.461146497,0.461146497,0.461146497,57071,57071,57071,0.415567106,0.415567106,0.415567106,57071,57071,57071,0.324855491,0.324855491,0.324855491,57071,57071,57071,0.560775037,0.560775037,0.560775037,57071,57071,57071,0.555530676,0.555530676,0.555530676
5354,57080,57080,57080,0.457916565,0.457916565,0.457916565,57080,57080,57080,0.434241863,0.434241863,0.434241863,57080,57080,57080,0.382409705,0.382409705,0.382409705,57080,57080,57080,0.322155689,0.322155689,0.322155689,57080,57080,57080,0.511690346,0.511690346,0.511690346,57080,57080,57080,0.520220994,0.520220994,0.520220994
5355,57089,57089,57089,0.560857604,0.560857604,0.560857604,57089,57089,57089,0.52571545,0.52571545,0.52571545,57089,57089,57089,0.483587213,0.483587213,0.483587213,57089,57089,57089,0.430125132,0.430125132,0.430125132,57089,57089,57089,0.596813395,0.596813395,0.596813395,57089,57089,57089,0.591765024,0.591765024,0.591765024
5356,57098,57098,57098,0.496670828,0.496670828,0.496670828,57098,57098,57098,0.4469571,0.4469571,0.4469571,57098,57098,57098,0.382616801,0.382616801,0.382616801,57098,57098,57098,0.302829467,0.302829467,0.302829467,57098,57098,57098,0.560211401,0.560211401,0.560211401,57098,57098,57098,0.587246483,0.587246483,0.587246483
5357,57107,57107,57107,0.586324288,0.586324288,0.586324288,57107,57107,57107,0.529761905,0.529761905,0.529761905,57107,57107,57107,0.474503947,0.474503947,0.474503947,57107,57107,57107,0.398638684,0.398638684,0.398638684,57107,57107,57107,0.630847029,0.630847029,0.630847029,57107,57107,57107,0.648972297,0.648972297,0.648972297
5358,57116,57116,57116,0.426670047,0.426670047,0.426670047,57116,57116,57116,0.398077693,0.398077693,0.398077693,57116,57116,57116,0.351381215,0.351381215,0.351381215,57116,57116,57116,0.283082322,0.283082322,0.283082322,57116,57116,57116,0.504435107,0.504435107,0.504435107,57116,57116,57116,0.515740741,0.515740741,0.515740741
5359,57125,57125,57125,0.494399532,0.494399532,0.494399532,57125,57125,57125,0.452445937,0.452445937,0.452445937,57125,57125,57125,0.423225806,0.423225806,0.423225806,57125,57125,57125,0.332031712,0.332031712,0.332031712,57125,57125,57125,0.547836516,0.547836516,0.547836516,57125,57125,57125,0.562642162,0.562642162,0.562642162
5360,57134,57134,57134,0.454448303,0.454448303,0.454448303,57134,57134,57134,0.407808492,0.407808492,0.407808492,57134,57134,57134,0.357885358,0.357885358,0.357885358,57134,57134,57134,0.292605522,0.292605522,0.292605522,57134,57134,57134,0.537005164,0.537005164,0.537005164,57134,57134,57134,0.542463102,0.542463102,0.542463102
5361,57143,57143,57143,0.533379614,0.533379614,0.533379614,57143,57143,57143,0.486124635,0.486124635,0.486124635,57143,57143,57143,0.42647979,0.42647979,0.42647979,57143,57143,57143,0.360835789,0.360835789,0.360835789,57143,57143,57143,0.591174205,0.591174205,0.591174205,57143,57143,57143,0.607518145,0.607518145,0.607518145
5362,57152,57152,57152,0.47686747,0.47686747,0.47686747,57152,57152,57152,0.443086731,0.443086731,0.443086731,57152,57152,57152,0.400823045,0.400823045,0.400823045,57152,57152,57152,0.31884058,0.31884058,0.31884058,57152,57152,57152,0.540033131,0.540033131,0.540033131,57152,57152,57152,0.547815561,0.547815561,0.547815561
5363,57161,57161,57161,0.500645161,0.500645161,0.500645161,57161,57161,57161,0.471808874,0.471808874,0.471808874,57161,57161,57161,0.407227241,0.407227241,0.407227241,57161,57161,57161,0.318910016,0.318910016,0.318910016,57161,57161,57161,0.564694448,0.564694448,0.564694448,57161,57161,57161,0.571972401,0.571972401,0.571972401
5364,57170,57170,57170,0.45795569,0.45795569,0.45795569,57170,57170,57170,0.429603854,0.429603854,0.429603854,57170,57170,57170,0.38914405,0.38914405,0.38914405,57170,57170,57170,0.316288721,0.316288721,0.316288721,57170,57170,57170,0.510494245,0.510494245,0.510494245,57170,57170,57170,0.518857641,0.518857641,0.518857641
5365,57179,57179,57179,0.424215146,0.424215146,0.424215146,57179,57179,57179,0.391689293,0.391689293,0.391689293,57179,57179,57179,0.344327836,0.344327836,0.344327836,57179,57179,57179,0.281524927,0.281524927,0.281524927,57179,57179,57179,0.511429442,0.511429442,0.511429442,57179,57179,57179,0.513884771,0.513884771,0.513884771
5366,57188,57188,57188,0.493552022,0.493552022,0.493552022,57188,57188,57188,0.441520853,0.441520853,0.441520853,57188,57188,57188,0.392989183,0.392989183,0.392989183,57188,57188,57188,0.326735598,0.326735598,0.326735598,57188,57188,57188,0.547591343,0.547591343,0.547591343,57188,57188,57188,0.57354618,0.57354618,0.57354618
5367,57197,57197,57197,0.53911679,0.53911679,0.53911679,57197,57197,57197,0.504605814,0.504605814,0.504605814,57197,57197,57197,0.450925691,0.450925691,0.450925691,57197,57197,57197,0.356424423,0.356424423,0.356424423,57197,57197,57197,0.596284459,0.596284459,0.596284459,57197,57197,57197,0.596334819,0.596334819,0.596334819
5368,57206,57206,57206,0.364280094,0.364280094,0.364280094,57206,57206,57206,0.333807627,0.333807627,0.333807627,57206,57206,57206,0.302444737,0.302444737,0.302444737,57206,57206,57206,0.246536073,0.246536073,0.246536073,57206,57206,57206,0.43281471,0.43281471,0.43281471,57206,57206,57206,0.434473261,0.434473261,0.434473261
5369,57215,57215,57215,0.46975089,0.46975089,0.46975089,57215,57215,57215,0.453437095,0.453437095,0.453437095,57215,57215,57215,0.397685995,0.397685995,0.397685995,57215,57215,57215,0.349508954,0.349508954,0.349508954,57215,57215,57215,0.529166667,0.529166667,0.529166667,57215,57215,57215,0.530975471,0.530975471,0.530975471
5370,57224,57224,57224,0.388004896,0.388004896,0.388004896,57224,57224,57224,0.359761747,0.359761747,0.359761747,57224,57224,57224,0.30465368,0.30465368,0.30465368,57224,57224,57224,0.265445559,0.265445559,0.265445559,57224,57224,57224,0.444073084,0.444073084,0.444073084,57224,57224,57224,0.449178201,0.449178201,0.449178201
5371,57233,57233,57233,0.546109222,0.546109222,0.546109222,57233,57233,57233,0.499783268,0.499783268,0.499783268,57233,57233,57233,0.437705104,0.437705104,0.437705104,57233,57233,57233,0.357886905,0.357886905,0.357886905,57233,57233,57233,0.597597873,0.597597873,0.597597873,57233,57233,57233,0.622326505,0.622326505,0.622326505
5372,57242,57242,57242,0.49820336,0.49820336,0.49820336,57242,57242,57242,0.458359555,0.458359555,0.458359555,57242,57242,57242,0.418395346,0.418395346,0.418395346,57242,57242,57242,0.336973479,0.336973479,0.336973479,57242,57242,57242,0.55578986,0.55578986,0.55578986,57242,57242,57242,0.565616202,0.565616202,0.565616202
5373,57251,57251,57251,0.536192047,0.536192047,0.536192047,57251,57251,57251,0.482854587,0.482854587,0.482854587,57251,57251,57251,0.438468644,0.438468644,0.438468644,57251,57251,57251,0.372031662,0.372031662,0.372031662,57251,57251,57251,0.598228871,0.598228871,0.598228871,57251,57251,57251,0.607734807,0.607734807,0.607734807
5374,57260,57260,57260,0.550204237,0.550204237,0.550204237,57260,57260,57260,0.511011419,0.511011419,0.511011419,57260,57260,57260,0.446769496,0.446769496,0.446769496,57260,57260,57260,0.366472199,0.366472199,0.366472199,57260,57260,57260,0.615786722,0.615786722,0.615786722,57260,57260,57260,0.631328172,0.631328172,0.631328172
5375,57269,57269,57269,0.536968283,0.536968283,0.536968283,57269,57269,57269,0.488958637,0.488958637,0.488958637,57269,57269,57269,0.437795648,0.437795648,0.437795648,57269,57269,57269,0.371118404,0.371118404,0.371118404,57269,57269,57269,0.577716372,0.577716372,0.577716372,57269,57269,57269,0.588109162,0.588109162,0.588109162
5376,57278,57278,57278,0.49218999,0.49218999,0.49218999,57278,57278,57278,0.434042553,0.434042553,0.434042553,57278,57278,57278,0.384276355,0.384276355,0.384276355,57278,57278,57278,0.302270948,0.302270948,0.302270948,57278,57278,57278,0.540899188,0.540899188,0.540899188,57278,57278,57278,0.563322609,0.563322609,0.563322609
5377,57287,57287,57287,0.509781135,0.509781135,0.509781135,57287,57287,57287,0.446461729,0.446461729,0.446461729,57287,57287,57287,0.394728383,0.394728383,0.394728383,57287,57287,57287,0.342002456,0.342002456,0.342002456,57287,57287,57287,0.576687117,0.576687117,0.576687117,57287,57287,57287,0.593178266,0.593178266,0.593178266
5378,57296,57296,57296,0.387900356,0.387900356,0.387900356,57296,57296,57296,0.358734525,0.358734525,0.358734525,57296,57296,57296,0.31105471,0.31105471,0.31105471,57296,57296,57296,0.259535025,0.259535025,0.259535025,57296,57296,57296,0.438238453,0.438238453,0.438238453,57296,57296,57296,0.470084481,0.470084481,0.470084481
5379,57305,57305,57305,0.504575163,0.504575163,0.504575163,57305,57305,57305,0.438596491,0.438596491,0.438596491,57305,57305,57305,0.382801303,0.382801303,0.382801303,57305,57305,57305,0.302046577,0.302046577,0.302046577,57305,57305,57305,0.590520922,0.590520922,0.590520922,57305,57305,57305,0.608160622,0.608160622,0.608160622
