training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
45,406,406,406,0.190903079,0.190903079,0.190903079,406,406,406,0.462625555,0.462625555,0.462625555,406,406,406,0.20400702,0.20400702,0.20400702,406,406,406,0.179647866,0.179647866,0.179647866,406,406,406,0.533355515,0.533355515,0.533355515,406,406,406,0.327057704,0.327057704,0.327057704
46,415,415,415,0.221504113,0.221504113,0.221504113,415,415,415,0.410132541,0.410132541,0.410132541,415,415,415,0.197838989,0.197838989,0.197838989,415,415,415,0.158083087,0.158083087,0.158083087,415,415,415,0.531420205,0.531420205,0.531420205,415,415,415,0.327973365,0.327973365,0.327973365
47,424,424,424,0.187997419,0.187997419,0.187997419,424,424,424,0.435553989,0.435553989,0.435553989,424,424,424,0.201402443,0.201402443,0.201402443,424,424,424,0.154749517,0.154749517,0.154749517,424,424,424,0.496664956,0.496664956,0.496664956,424,424,424,0.298090041,0.298090041,0.298090041
48,433,433,433,0.192993837,0.192993837,0.192993837,433,433,433,0.412093023,0.412093023,0.412093023,433,433,433,0.18952247,0.18952247,0.18952247,433,433,433,0.142722683,0.142722683,0.142722683,433,433,433,0.489337539,0.489337539,0.489337539,433,433,433,0.300605144,0.300605144,0.300605144
49,442,442,442,0.22995632,0.22995632,0.22995632,442,442,442,0.424511332,0.424511332,0.424511332,442,442,442,0.150439794,0.150439794,0.150439794,442,442,442,0.146371183,0.146371183,0.146371183,442,442,442,0.469634676,0.469634676,0.469634676,442,442,442,0.293140594,0.293140594,0.293140594
50,451,451,451,0.212046205,0.212046205,0.212046205,451,451,451,0.436101499,0.436101499,0.436101499,451,451,451,0.208431563,0.208431563,0.208431563,451,451,451,0.166202215,0.166202215,0.166202215,451,451,451,0.532520325,0.532520325,0.532520325,451,451,451,0.360060324,0.360060324,0.360060324
51,460,460,460,0.225341921,0.225341921,0.225341921,460,460,460,0.446778213,0.446778213,0.446778213,460,460,460,0.173403365,0.173403365,0.173403365,460,460,460,0.159648988,0.159648988,0.159648988,460,460,460,0.521993462,0.521993462,0.521993462,460,460,460,0.362901596,0.362901596,0.362901596
52,469,469,469,0.22348237,0.22348237,0.22348237,469,469,469,0.429186132,0.429186132,0.429186132,469,469,469,0.188494307,0.188494307,0.188494307,469,469,469,0.154737086,0.154737086,0.154737086,469,469,469,0.519694095,0.519694095,0.519694095,469,469,469,0.356905102,0.356905102,0.356905102
53,478,478,478,0.212793734,0.212793734,0.212793734,478,478,478,0.410962271,0.410962271,0.410962271,478,478,478,0.18827762,0.18827762,0.18827762,478,478,478,0.145608629,0.145608629,0.145608629,478,478,478,0.51887495,0.51887495,0.51887495,478,478,478,0.383212889,0.383212889,0.383212889
54,487,487,487,0.217658854,0.217658854,0.217658854,487,487,487,0.424963203,0.424963203,0.424963203,487,487,487,0.195299664,0.195299664,0.195299664,487,487,487,0.169056932,0.169056932,0.169056932,487,487,487,0.53377121,0.53377121,0.53377121,487,487,487,0.418366086,0.418366086,0.418366086
55,496,496,496,0.19236809,0.19236809,0.19236809,496,496,496,0.432483834,0.432483834,0.432483834,496,496,496,0.202965932,0.202965932,0.202965932,496,496,496,0.161072721,0.161072721,0.161072721,496,496,496,0.572054163,0.572054163,0.572054163,496,496,496,0.433028765,0.433028765,0.433028765
56,505,505,505,0.217434444,0.217434444,0.217434444,505,505,505,0.431036521,0.431036521,0.431036521,505,505,505,0.197007119,0.197007119,0.197007119,505,505,505,0.162590781,0.162590781,0.162590781,505,505,505,0.5688785,0.5688785,0.5688785,505,505,505,0.421927322,0.421927322,0.421927322
57,514,514,514,0.245010867,0.245010867,0.245010867,514,514,514,0.44191189,0.44191189,0.44191189,514,514,514,0.16092925,0.16092925,0.16092925,514,514,514,0.160956736,0.160956736,0.160956736,514,514,514,0.552495515,0.552495515,0.552495515,514,514,514,0.418843785,0.418843785,0.418843785
58,523,523,523,0.231071316,0.231071316,0.231071316,523,523,523,0.411131531,0.411131531,0.411131531,523,523,523,0.182639402,0.182639402,0.182639402,523,523,523,0.154910564,0.154910564,0.154910564,523,523,523,0.516225962,0.516225962,0.516225962,523,523,523,0.433179096,0.433179096,0.433179096
59,532,532,532,0.221234636,0.221234636,0.221234636,532,532,532,0.417391304,0.417391304,0.417391304,532,532,532,0.207467695,0.207467695,0.207467695,532,532,532,0.180804057,0.180804057,0.180804057,532,532,532,0.594469334,0.594469334,0.594469334,532,532,532,0.491738191,0.491738191,0.491738191
60,541,541,541,0.226306197,0.226306197,0.226306197,541,541,541,0.402064483,0.402064483,0.402064483,541,541,541,0.195988629,0.195988629,0.195988629,541,541,541,0.145543346,0.145543346,0.145543346,541,541,541,0.566433168,0.566433168,0.566433168,541,541,541,0.45100078,0.45100078,0.45100078
61,550,550,550,0.213629112,0.213629112,0.213629112,550,550,550,0.417370478,0.417370478,0.417370478,550,550,550,0.212426402,0.212426402,0.212426402,550,550,550,0.161009504,0.161009504,0.161009504,550,550,550,0.580049464,0.580049464,0.580049464,550,550,550,0.493247429,0.493247429,0.493247429
62,559,559,559,0.225332001,0.225332001,0.225332001,559,559,559,0.386674153,0.386674153,0.386674153,559,559,559,0.198312861,0.198312861,0.198312861,559,559,559,0.175375912,0.175375912,0.175375912,559,559,559,0.581706396,0.581706396,0.581706396,559,559,559,0.493751868,0.493751868,0.493751868
63,568,568,568,0.210973168,0.210973168,0.210973168,568,568,568,0.398406903,0.398406903,0.398406903,568,568,568,0.208233644,0.208233644,0.208233644,568,568,568,0.169014085,0.169014085,0.169014085,568,568,568,0.571562262,0.571562262,0.571562262,568,568,568,0.517287659,0.517287659,0.517287659
64,577,577,577,0.255740126,0.255740126,0.255740126,577,577,577,0.387764283,0.387764283,0.387764283,577,577,577,0.155482156,0.155482156,0.155482156,577,577,577,0.151823647,0.151823647,0.151823647,577,577,577,0.539898333,0.539898333,0.539898333,577,577,577,0.462666234,0.462666234,0.462666234
65,586,586,586,0.253461968,0.253461968,0.253461968,586,586,586,0.427055703,0.427055703,0.427055703,586,586,586,0.182576653,0.182576653,0.182576653,586,586,586,0.17118502,0.17118502,0.17118502,586,586,586,0.590008173,0.590008173,0.590008173,586,586,586,0.512650536,0.512650536,0.512650536
66,595,595,595,0.237915464,0.237915464,0.237915464,595,595,595,0.423814581,0.423814581,0.423814581,595,595,595,0.192061657,0.192061657,0.192061657,595,595,595,0.159606537,0.159606537,0.159606537,595,595,595,0.581907625,0.581907625,0.581907625,595,595,595,0.534542007,0.534542007,0.534542007
67,604,604,604,0.232991612,0.232991612,0.232991612,604,604,604,0.399431326,0.399431326,0.399431326,604,604,604,0.198853057,0.198853057,0.198853057,604,604,604,0.168148993,0.168148993,0.168148993,604,604,604,0.58451543,0.58451543,0.58451543,604,604,604,0.539787567,0.539787567,0.539787567
68,613,613,613,0.234955814,0.234955814,0.234955814,613,613,613,0.416118822,0.416118822,0.416118822,613,613,613,0.187300408,0.187300408,0.187300408,613,613,613,0.177863559,0.177863559,0.177863559,613,613,613,0.567280607,0.567280607,0.567280607,613,613,613,0.528530259,0.528530259,0.528530259
69,622,622,622,0.243599122,0.243599122,0.243599122,622,622,622,0.429387555,0.429387555,0.429387555,622,622,622,0.20091954,0.20091954,0.20091954,622,622,622,0.168442336,0.168442336,0.168442336,622,622,622,0.589796584,0.589796584,0.589796584,622,622,622,0.543971094,0.543971094,0.543971094
70,631,631,631,0.227985617,0.227985617,0.227985617,631,631,631,0.410210249,0.410210249,0.410210249,631,631,631,0.193267837,0.193267837,0.193267837,631,631,631,0.160138249,0.160138249,0.160138249,631,631,631,0.564811654,0.564811654,0.564811654,631,631,631,0.522410174,0.522410174,0.522410174
71,640,640,640,0.244552602,0.244552602,0.244552602,640,640,640,0.414891551,0.414891551,0.414891551,640,640,640,0.2194643,0.2194643,0.2194643,640,640,640,0.176599014,0.176599014,0.176599014,640,640,640,0.607459644,0.607459644,0.607459644,640,640,640,0.586378252,0.586378252,0.586378252
