training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
5215,55822,55822,55822,0.694154961,0.694154961,0.694154961,55822,55822,55822,0.671355236,0.671355236,0.671355236,55822,55822,55822,0.633546896,0.633546896,0.633546896,55822,55822,55822,0.623834304,0.623834304,0.623834304,55822,55822,55822,0.755307907,0.755307907,0.755307907,55822,55822,55822,0.764373546,0.764373546,0.764373546
5216,55831,55831,55831,0.682653708,0.682653708,0.682653708,55831,55831,55831,0.635210884,0.635210884,0.635210884,55831,55831,55831,0.600556174,0.600556174,0.600556174,55831,55831,55831,0.588052926,0.588052926,0.588052926,55831,55831,55831,0.744444444,0.744444444,0.744444444,55831,55831,55831,0.752941176,0.752941176,0.752941176
5217,55840,55840,55840,0.697541154,0.697541154,0.697541154,55840,55840,55840,0.671968612,0.671968612,0.671968612,55840,55840,55840,0.643710624,0.643710624,0.643710624,55840,55840,55840,0.635036106,0.635036106,0.635036106,55840,55840,55840,0.736547029,0.736547029,0.736547029,55840,55840,55840,0.747734812,0.747734812,0.747734812
5218,55849,55849,55849,0.721888873,0.721888873,0.721888873,55849,55849,55849,0.702475248,0.702475248,0.702475248,55849,55849,55849,0.665281719,0.665281719,0.665281719,55849,55849,55849,0.651779413,0.651779413,0.651779413,55849,55849,55849,0.775810936,0.775810936,0.775810936,55849,55849,55849,0.784579871,0.784579871,0.784579871
5219,55858,55858,55858,0.74352986,0.74352986,0.74352986,55858,55858,55858,0.709153206,0.709153206,0.709153206,55858,55858,55858,0.678173498,0.678173498,0.678173498,55858,55858,55858,0.655065816,0.655065816,0.655065816,55858,55858,55858,0.790725381,0.790725381,0.790725381,55858,55858,55858,0.805115878,0.805115878,0.805115878
5220,55867,55867,55867,0.717760151,0.717760151,0.717760151,55867,55867,55867,0.703893497,0.703893497,0.703893497,55867,55867,55867,0.661005949,0.661005949,0.661005949,55867,55867,55867,0.647248149,0.647248149,0.647248149,55867,55867,55867,0.769703999,0.769703999,0.769703999,55867,55867,55867,0.781396743,0.781396743,0.781396743
5221,55876,55876,55876,0.690867074,0.690867074,0.690867074,55876,55876,55876,0.673722025,0.673722025,0.673722025,55876,55876,55876,0.642818051,0.642818051,0.642818051,55876,55876,55876,0.626750074,0.626750074,0.626750074,55876,55876,55876,0.741395992,0.741395992,0.741395992,55876,55876,55876,0.756878665,0.756878665,0.756878665
5222,55885,55885,55885,0.731165974,0.731165974,0.731165974,55885,55885,55885,0.700558771,0.700558771,0.700558771,55885,55885,55885,0.65390717,0.65390717,0.65390717,55885,55885,55885,0.621737116,0.621737116,0.621737116,55885,55885,55885,0.792596372,0.792596372,0.792596372,55885,55885,55885,0.805896356,0.805896356,0.805896356
5223,55894,55894,55894,0.715496888,0.715496888,0.715496888,55894,55894,55894,0.683998898,0.683998898,0.683998898,55894,55894,55894,0.644961065,0.644961065,0.644961065,55894,55894,55894,0.632699451,0.632699451,0.632699451,55894,55894,55894,0.770478341,0.770478341,0.770478341,55894,55894,55894,0.776659133,0.776659133,0.776659133
5224,55903,55903,55903,0.709655274,0.709655274,0.709655274,55903,55903,55903,0.688705508,0.688705508,0.688705508,55903,55903,55903,0.649445744,0.649445744,0.649445744,55903,55903,55903,0.634521102,0.634521102,0.634521102,55903,55903,55903,0.768769332,0.768769332,0.768769332,55903,55903,55903,0.77262116,0.77262116,0.77262116
5225,55912,55912,55912,0.671660677,0.671660677,0.671660677,55912,55912,55912,0.649330587,0.649330587,0.649330587,55912,55912,55912,0.609704418,0.609704418,0.609704418,55912,55912,55912,0.598364548,0.598364548,0.598364548,55912,55912,55912,0.735789474,0.735789474,0.735789474,55912,55912,55912,0.749964423,0.749964423,0.749964423
5226,55921,55921,55921,0.69764139,0.69764139,0.69764139,55921,55921,55921,0.677000721,0.677000721,0.677000721,55921,55921,55921,0.643494697,0.643494697,0.643494697,55921,55921,55921,0.63230384,0.63230384,0.63230384,55921,55921,55921,0.750390472,0.750390472,0.750390472,55921,55921,55921,0.756275695,0.756275695,0.756275695
5227,55930,55930,55930,0.692295639,0.692295639,0.692295639,55930,55930,55930,0.665853917,0.665853917,0.665853917,55930,55930,55930,0.628282499,0.628282499,0.628282499,55930,55930,55930,0.612854686,0.612854686,0.612854686,55930,55930,55930,0.751663748,0.751663748,0.751663748,55930,55930,55930,0.762441872,0.762441872,0.762441872
5228,55939,55939,55939,0.692663798,0.692663798,0.692663798,55939,55939,55939,0.66181411,0.66181411,0.66181411,55939,55939,55939,0.619841865,0.619841865,0.619841865,55939,55939,55939,0.594153954,0.594153954,0.594153954,55939,55939,55939,0.744240811,0.744240811,0.744240811,55939,55939,55939,0.75413807,0.75413807,0.75413807
5229,55948,55948,55948,0.605694376,0.605694376,0.605694376,55948,55948,55948,0.572417644,0.572417644,0.572417644,55948,55948,55948,0.550196012,0.550196012,0.550196012,55948,55948,55948,0.557590603,0.557590603,0.557590603,55948,55948,55948,0.649921671,0.649921671,0.649921671,55948,55948,55948,0.653093106,0.653093106,0.653093106
5230,55957,55957,55957,0.650982085,0.650982085,0.650982085,55957,55957,55957,0.618111327,0.618111327,0.618111327,55957,55957,55957,0.576720476,0.576720476,0.576720476,55957,55957,55957,0.560886439,0.560886439,0.560886439,55957,55957,55957,0.724297148,0.724297148,0.724297148,55957,55957,55957,0.735220607,0.735220607,0.735220607
5231,55966,55966,55966,0.659263716,0.659263716,0.659263716,55966,55966,55966,0.640181486,0.640181486,0.640181486,55966,55966,55966,0.611216624,0.611216624,0.611216624,55966,55966,55966,0.600860262,0.600860262,0.600860262,55966,55966,55966,0.712394705,0.712394705,0.712394705,55966,55966,55966,0.714473201,0.714473201,0.714473201
5232,55975,55975,55975,0.711053133,0.711053133,0.711053133,55975,55975,55975,0.683134758,0.683134758,0.683134758,55975,55975,55975,0.65389022,0.65389022,0.65389022,55975,55975,55975,0.640305991,0.640305991,0.640305991,55975,55975,55975,0.7688084,0.7688084,0.7688084,55975,55975,55975,0.781988493,0.781988493,0.781988493
5233,55984,55984,55984,0.721406491,0.721406491,0.721406491,55984,55984,55984,0.700715712,0.700715712,0.700715712,55984,55984,55984,0.664708518,0.664708518,0.664708518,55984,55984,55984,0.645337031,0.645337031,0.645337031,55984,55984,55984,0.77053534,0.77053534,0.77053534,55984,55984,55984,0.772369463,0.772369463,0.772369463
5234,55993,55993,55993,0.682047285,0.682047285,0.682047285,55993,55993,55993,0.66056301,0.66056301,0.66056301,55993,55993,55993,0.627979386,0.627979386,0.627979386,55993,55993,55993,0.616698494,0.616698494,0.616698494,55993,55993,55993,0.731926042,0.731926042,0.731926042,55993,55993,55993,0.743227622,0.743227622,0.743227622
5235,56002,56002,56002,0.71068999,0.71068999,0.71068999,56002,56002,56002,0.685047193,0.685047193,0.685047193,56002,56002,56002,0.648868963,0.648868963,0.648868963,56002,56002,56002,0.630085435,0.630085435,0.630085435,56002,56002,56002,0.764678601,0.764678601,0.764678601,56002,56002,56002,0.775551286,0.775551286,0.775551286
5236,56011,56011,56011,0.691306951,0.691306951,0.691306951,56011,56011,56011,0.672477115,0.672477115,0.672477115,56011,56011,56011,0.650477884,0.650477884,0.650477884,56011,56011,56011,0.638414367,0.638414367,0.638414367,56011,56011,56011,0.733228346,0.733228346,0.733228346,56011,56011,56011,0.745446977,0.745446977,0.745446977
5237,56020,56020,56020,0.691536217,0.691536217,0.691536217,56020,56020,56020,0.659290841,0.659290841,0.659290841,56020,56020,56020,0.630142943,0.630142943,0.630142943,56020,56020,56020,0.617327366,0.617327366,0.617327366,56020,56020,56020,0.744200307,0.744200307,0.744200307,56020,56020,56020,0.755390938,0.755390938,0.755390938
5238,56029,56029,56029,0.697205209,0.697205209,0.697205209,56029,56029,56029,0.664233577,0.664233577,0.664233577,56029,56029,56029,0.619487291,0.619487291,0.619487291,56029,56029,56029,0.618521665,0.618521665,0.618521665,56029,56029,56029,0.753294002,0.753294002,0.753294002,56029,56029,56029,0.76760803,0.76760803,0.76760803
5239,56038,56038,56038,0.7043,0.7043,0.7043,56038,56038,56038,0.680293448,0.680293448,0.680293448,56038,56038,56038,0.644418162,0.644418162,0.644418162,56038,56038,56038,0.634163737,0.634163737,0.634163737,56038,56038,56038,0.753125151,0.753125151,0.753125151,56038,56038,56038,0.766680914,0.766680914,0.766680914
5240,56047,56047,56047,0.680237316,0.680237316,0.680237316,56047,56047,56047,0.664138397,0.664138397,0.664138397,56047,56047,56047,0.641786351,0.641786351,0.641786351,56047,56047,56047,0.630965998,0.630965998,0.630965998,56047,56047,56047,0.724861227,0.724861227,0.724861227,56047,56047,56047,0.726146586,0.726146586,0.726146586
5241,56056,56056,56056,0.692970857,0.692970857,0.692970857,56056,56056,56056,0.680857875,0.680857875,0.680857875,56056,56056,56056,0.637641375,0.637641375,0.637641375,56056,56056,56056,0.622673435,0.622673435,0.622673435,56056,56056,56056,0.742960945,0.742960945,0.742960945,56056,56056,56056,0.753134677,0.753134677,0.753134677
5242,56065,56065,56065,0.677795786,0.677795786,0.677795786,56065,56065,56065,0.656620257,0.656620257,0.656620257,56065,56065,56065,0.602483777,0.602483777,0.602483777,56065,56065,56065,0.605245973,0.605245973,0.605245973,56065,56065,56065,0.724328265,0.724328265,0.724328265,56065,56065,56065,0.751644318,0.751644318,0.751644318
5243,56074,56074,56074,0.703963688,0.703963688,0.703963688,56074,56074,56074,0.669582591,0.669582591,0.669582591,56074,56074,56074,0.623174621,0.623174621,0.623174621,56074,56074,56074,0.592729929,0.592729929,0.592729929,56074,56074,56074,0.75864823,0.75864823,0.75864823,56074,56074,56074,0.767806127,0.767806127,0.767806127
5244,56083,56083,56083,0.687199427,0.687199427,0.687199427,56083,56083,56083,0.658723581,0.658723581,0.658723581,56083,56083,56083,0.613800096,0.613800096,0.613800096,56083,56083,56083,0.611406604,0.611406604,0.611406604,56083,56083,56083,0.757214313,0.757214313,0.757214313,56083,56083,56083,0.769814183,0.769814183,0.769814183
5245,56092,56092,56092,0.700313957,0.700313957,0.700313957,56092,56092,56092,0.677168417,0.677168417,0.677168417,56092,56092,56092,0.628903487,0.628903487,0.628903487,56092,56092,56092,0.620247458,0.620247458,0.620247458,56092,56092,56092,0.758403456,0.758403456,0.758403456,56092,56092,56092,0.764729603,0.764729603,0.764729603
5246,56101,56101,56101,0.723958844,0.723958844,0.723958844,56101,56101,56101,0.690356342,0.690356342,0.690356342,56101,56101,56101,0.647981144,0.647981144,0.647981144,56101,56101,56101,0.626913037,0.626913037,0.626913037,56101,56101,56101,0.772742278,0.772742278,0.772742278,56101,56101,56101,0.78077374,0.78077374,0.78077374
5247,56110,56110,56110,0.688492872,0.688492872,0.688492872,56110,56110,56110,0.658932473,0.658932473,0.658932473,56110,56110,56110,0.611129015,0.611129015,0.611129015,56110,56110,56110,0.594652292,0.594652292,0.594652292,56110,56110,56110,0.754043127,0.754043127,0.754043127,56110,56110,56110,0.772697024,0.772697024,0.772697024
5248,56119,56119,56119,0.637572414,0.637572414,0.637572414,56119,56119,56119,0.623710769,0.623710769,0.623710769,56119,56119,56119,0.606947392,0.606947392,0.606947392,56119,56119,56119,0.603893611,0.603893611,0.603893611,56119,56119,56119,0.68152662,0.68152662,0.68152662,56119,56119,56119,0.687080226,0.687080226,0.687080226
5249,56128,56128,56128,0.641885199,0.641885199,0.641885199,56128,56128,56128,0.623868748,0.623868748,0.623868748,56128,56128,56128,0.603830428,0.603830428,0.603830428,56128,56128,56128,0.604734919,0.604734919,0.604734919,56128,56128,56128,0.679570328,0.679570328,0.679570328,56128,56128,56128,0.685754684,0.685754684,0.685754684
5250,56137,56137,56137,0.701352869,0.701352869,0.701352869,56137,56137,56137,0.666409522,0.666409522,0.666409522,56137,56137,56137,0.617909261,0.617909261,0.617909261,56137,56137,56137,0.603655118,0.603655118,0.603655118,56137,56137,56137,0.765647154,0.765647154,0.765647154,56137,56137,56137,0.772890621,0.772890621,0.772890621
5251,56146,56146,56146,0.685942492,0.685942492,0.685942492,56146,56146,56146,0.651871335,0.651871335,0.651871335,56146,56146,56146,0.607614959,0.607614959,0.607614959,56146,56146,56146,0.593979028,0.593979028,0.593979028,56146,56146,56146,0.742770322,0.742770322,0.742770322,56146,56146,56146,0.755229394,0.755229394,0.755229394
5252,56155,56155,56155,0.674954862,0.674954862,0.674954862,56155,56155,56155,0.648218427,0.648218427,0.648218427,56155,56155,56155,0.591272011,0.591272011,0.591272011,56155,56155,56155,0.573683924,0.573683924,0.573683924,56155,56155,56155,0.742662448,0.742662448,0.742662448,56155,56155,56155,0.754265391,0.754265391,0.754265391
5253,56164,56164,56164,0.656759238,0.656759238,0.656759238,56164,56164,56164,0.633256867,0.633256867,0.633256867,56164,56164,56164,0.592948525,0.592948525,0.592948525,56164,56164,56164,0.585083102,0.585083102,0.585083102,56164,56164,56164,0.706649715,0.706649715,0.706649715,56164,56164,56164,0.709433549,0.709433549,0.709433549
5254,56173,56173,56173,0.739434794,0.739434794,0.739434794,56173,56173,56173,0.703022549,0.703022549,0.703022549,56173,56173,56173,0.647065338,0.647065338,0.647065338,56173,56173,56173,0.622800728,0.622800728,0.622800728,56173,56173,56173,0.793674474,0.793674474,0.793674474,56173,56173,56173,0.818199363,0.818199363,0.818199363
5255,56182,56182,56182,0.634972146,0.634972146,0.634972146,56182,56182,56182,0.61498708,0.61498708,0.61498708,56182,56182,56182,0.587202148,0.587202148,0.587202148,56182,56182,56182,0.577478769,0.577478769,0.577478769,56182,56182,56182,0.675006409,0.675006409,0.675006409,56182,56182,56182,0.69418235,0.69418235,0.69418235
5256,56191,56191,56191,0.657303053,0.657303053,0.657303053,56191,56191,56191,0.632956849,0.632956849,0.632956849,56191,56191,56191,0.601043643,0.601043643,0.601043643,56191,56191,56191,0.593902723,0.593902723,0.593902723,56191,56191,56191,0.709128139,0.709128139,0.709128139,56191,56191,56191,0.733693923,0.733693923,0.733693923
5257,56200,56200,56200,0.664106476,0.664106476,0.664106476,56200,56200,56200,0.649611743,0.649611743,0.649611743,56200,56200,56200,0.617814688,0.617814688,0.617814688,56200,56200,56200,0.609803289,0.609803289,0.609803289,56200,56200,56200,0.711138249,0.711138249,0.711138249,56200,56200,56200,0.716264544,0.716264544,0.716264544
5258,56209,56209,56209,0.687163106,0.687163106,0.687163106,56209,56209,56209,0.66230246,0.66230246,0.66230246,56209,56209,56209,0.626090591,0.626090591,0.626090591,56209,56209,56209,0.615713021,0.615713021,0.615713021,56209,56209,56209,0.732761512,0.732761512,0.732761512,56209,56209,56209,0.736816874,0.736816874,0.736816874
5259,56218,56218,56218,0.644148115,0.644148115,0.644148115,56218,56218,56218,0.616216216,0.616216216,0.616216216,56218,56218,56218,0.5893837,0.5893837,0.5893837,56218,56218,56218,0.566534914,0.566534914,0.566534914,56218,56218,56218,0.693230012,0.693230012,0.693230012,56218,56218,56218,0.708198073,0.708198073,0.708198073
5260,56227,56227,56227,0.696467616,0.696467616,0.696467616,56227,56227,56227,0.682890928,0.682890928,0.682890928,56227,56227,56227,0.65246325,0.65246325,0.65246325,56227,56227,56227,0.647220047,0.647220047,0.647220047,56227,56227,56227,0.754651706,0.754651706,0.754651706,56227,56227,56227,0.773032674,0.773032674,0.773032674
5261,56236,56236,56236,0.686867594,0.686867594,0.686867594,56236,56236,56236,0.667141448,0.667141448,0.667141448,56236,56236,56236,0.625692075,0.625692075,0.625692075,56236,56236,56236,0.610909491,0.610909491,0.610909491,56236,56236,56236,0.740393627,0.740393627,0.740393627,56236,56236,56236,0.747844049,0.747844049,0.747844049
5262,56245,56245,56245,0.65345888,0.65345888,0.65345888,56245,56245,56245,0.637006967,0.637006967,0.637006967,56245,56245,56245,0.609,0.609,0.609,56245,56245,56245,0.60358533,0.60358533,0.60358533,56245,56245,56245,0.702663109,0.702663109,0.702663109,56245,56245,56245,0.718537371,0.718537371,0.718537371
5263,56254,56254,56254,0.729037376,0.729037376,0.729037376,56254,56254,56254,0.70336972,0.70336972,0.70336972,56254,56254,56254,0.653776138,0.653776138,0.653776138,56254,56254,56254,0.626793071,0.626793071,0.626793071,56254,56254,56254,0.793255261,0.793255261,0.793255261,56254,56254,56254,0.802810754,0.802810754,0.802810754
5264,56263,56263,56263,0.698664814,0.698664814,0.698664814,56263,56263,56263,0.675010052,0.675010052,0.675010052,56263,56263,56263,0.634259022,0.634259022,0.634259022,56263,56263,56263,0.617455139,0.617455139,0.617455139,56263,56263,56263,0.762085129,0.762085129,0.762085129,56263,56263,56263,0.779254821,0.779254821,0.779254821
5265,56272,56272,56272,0.680080483,0.680080483,0.680080483,56272,56272,56272,0.658024427,0.658024427,0.658024427,56272,56272,56272,0.628132712,0.628132712,0.628132712,56272,56272,56272,0.619006479,0.619006479,0.619006479,56272,56272,56272,0.735812922,0.735812922,0.735812922,56272,56272,56272,0.748060269,0.748060269,0.748060269
5266,56281,56281,56281,0.664569486,0.664569486,0.664569486,56281,56281,56281,0.631066436,0.631066436,0.631066436,56281,56281,56281,0.578586469,0.578586469,0.578586469,56281,56281,56281,0.571673452,0.571673452,0.571673452,56281,56281,56281,0.739385835,0.739385835,0.739385835,56281,56281,56281,0.761833349,0.761833349,0.761833349
5267,56290,56290,56290,0.715166461,0.715166461,0.715166461,56290,56290,56290,0.681170539,0.681170539,0.681170539,56290,56290,56290,0.637797049,0.637797049,0.637797049,56290,56290,56290,0.609367131,0.609367131,0.609367131,56290,56290,56290,0.772233831,0.772233831,0.772233831,56290,56290,56290,0.786112646,0.786112646,0.786112646
5268,56299,56299,56299,0.719178768,0.719178768,0.719178768,56299,56299,56299,0.694867113,0.694867113,0.694867113,56299,56299,56299,0.667971365,0.667971365,0.667971365,56299,56299,56299,0.655279345,0.655279345,0.655279345,56299,56299,56299,0.765640038,0.765640038,0.765640038,56299,56299,56299,0.768390281,0.768390281,0.768390281
5269,56308,56308,56308,0.738009182,0.738009182,0.738009182,56308,56308,56308,0.710648263,0.710648263,0.710648263,56308,56308,56308,0.678486639,0.678486639,0.678486639,56308,56308,56308,0.654417317,0.654417317,0.654417317,56308,56308,56308,0.793789286,0.793789286,0.793789286,56308,56308,56308,0.808965774,0.808965774,0.808965774
5270,56317,56317,56317,0.692977542,0.692977542,0.692977542,56317,56317,56317,0.64956727,0.64956727,0.64956727,56317,56317,56317,0.606787501,0.606787501,0.606787501,56317,56317,56317,0.58547124,0.58547124,0.58547124,56317,56317,56317,0.743273652,0.743273652,0.743273652,56317,56317,56317,0.760224306,0.760224306,0.760224306
5271,56326,56326,56326,0.699739948,0.699739948,0.699739948,56326,56326,56326,0.667585081,0.667585081,0.667585081,56326,56326,56326,0.624829181,0.624829181,0.624829181,56326,56326,56326,0.615113689,0.615113689,0.615113689,56326,56326,56326,0.759421121,0.759421121,0.759421121,56326,56326,56326,0.771782668,0.771782668,0.771782668
5272,56335,56335,56335,0.678751857,0.678751857,0.678751857,56335,56335,56335,0.666366906,0.666366906,0.666366906,56335,56335,56335,0.626133279,0.626133279,0.626133279,56335,56335,56335,0.615586779,0.615586779,0.615586779,56335,56335,56335,0.746742633,0.746742633,0.746742633,56335,56335,56335,0.746482836,0.746482836,0.746482836
5273,56344,56344,56344,0.653924985,0.653924985,0.653924985,56344,56344,56344,0.620450242,0.620450242,0.620450242,56344,56344,56344,0.575404776,0.575404776,0.575404776,56344,56344,56344,0.572753932,0.572753932,0.572753932,56344,56344,56344,0.720529543,0.720529543,0.720529543,56344,56344,56344,0.731538462,0.731538462,0.731538462
5274,56353,56353,56353,0.67081246,0.67081246,0.67081246,56353,56353,56353,0.658033185,0.658033185,0.658033185,56353,56353,56353,0.623906021,0.623906021,0.623906021,56353,56353,56353,0.598016336,0.598016336,0.598016336,56353,56353,56353,0.709067517,0.709067517,0.709067517,56353,56353,56353,0.725605039,0.725605039,0.725605039
5275,56362,56362,56362,0.680144935,0.680144935,0.680144935,56362,56362,56362,0.642868663,0.642868663,0.642868663,56362,56362,56362,0.613043952,0.613043952,0.613043952,56362,56362,56362,0.588553208,0.588553208,0.588553208,56362,56362,56362,0.731550372,0.731550372,0.731550372,56362,56362,56362,0.744267373,0.744267373,0.744267373
5276,56371,56371,56371,0.661416512,0.661416512,0.661416512,56371,56371,56371,0.643538685,0.643538685,0.643538685,56371,56371,56371,0.616065315,0.616065315,0.616065315,56371,56371,56371,0.605027962,0.605027962,0.605027962,56371,56371,56371,0.711511789,0.711511789,0.711511789,56371,56371,56371,0.722918818,0.722918818,0.722918818
5277,56380,56380,56380,0.668816511,0.668816511,0.668816511,56380,56380,56380,0.640976307,0.640976307,0.640976307,56380,56380,56380,0.598445596,0.598445596,0.598445596,56380,56380,56380,0.58753908,0.58753908,0.58753908,56380,56380,56380,0.719777675,0.719777675,0.719777675,56380,56380,56380,0.731384333,0.731384333,0.731384333
5278,56389,56389,56389,0.690727795,0.690727795,0.690727795,56389,56389,56389,0.661489315,0.661489315,0.661489315,56389,56389,56389,0.620323273,0.620323273,0.620323273,56389,56389,56389,0.606104409,0.606104409,0.606104409,56389,56389,56389,0.74556213,0.74556213,0.74556213,56389,56389,56389,0.757709251,0.757709251,0.757709251
5279,56398,56398,56398,0.722201562,0.722201562,0.722201562,56398,56398,56398,0.69057076,0.69057076,0.69057076,56398,56398,56398,0.649494728,0.649494728,0.649494728,56398,56398,56398,0.625834827,0.625834827,0.625834827,56398,56398,56398,0.774803638,0.774803638,0.774803638,56398,56398,56398,0.776934593,0.776934593,0.776934593
5280,56407,56407,56407,0.720975311,0.720975311,0.720975311,56407,56407,56407,0.690385119,0.690385119,0.690385119,56407,56407,56407,0.646231479,0.646231479,0.646231479,56407,56407,56407,0.626232319,0.626232319,0.626232319,56407,56407,56407,0.779313376,0.779313376,0.779313376,56407,56407,56407,0.794246827,0.794246827,0.794246827
5281,56416,56416,56416,0.676249662,0.676249662,0.676249662,56416,56416,56416,0.652598845,0.652598845,0.652598845,56416,56416,56416,0.613169427,0.613169427,0.613169427,56416,56416,56416,0.596850304,0.596850304,0.596850304,56416,56416,56416,0.727160557,0.727160557,0.727160557,56416,56416,56416,0.733343544,0.733343544,0.733343544
5282,56425,56425,56425,0.729978875,0.729978875,0.729978875,56425,56425,56425,0.687837503,0.687837503,0.687837503,56425,56425,56425,0.63780413,0.63780413,0.63780413,56425,56425,56425,0.612488427,0.612488427,0.612488427,56425,56425,56425,0.790031717,0.790031717,0.790031717,56425,56425,56425,0.806492109,0.806492109,0.806492109
5283,56434,56434,56434,0.701391481,0.701391481,0.701391481,56434,56434,56434,0.672946496,0.672946496,0.672946496,56434,56434,56434,0.639995628,0.639995628,0.639995628,56434,56434,56434,0.627978271,0.627978271,0.627978271,56434,56434,56434,0.744956401,0.744956401,0.744956401,56434,56434,56434,0.757955936,0.757955936,0.757955936
5284,56443,56443,56443,0.693012542,0.693012542,0.693012542,56443,56443,56443,0.659015878,0.659015878,0.659015878,56443,56443,56443,0.625046729,0.625046729,0.625046729,56443,56443,56443,0.609339707,0.609339707,0.609339707,56443,56443,56443,0.749623585,0.749623585,0.749623585,56443,56443,56443,0.76173494,0.76173494,0.76173494
5285,56452,56452,56452,0.704957053,0.704957053,0.704957053,56452,56452,56452,0.689355918,0.689355918,0.689355918,56452,56452,56452,0.656891496,0.656891496,0.656891496,56452,56452,56452,0.639363395,0.639363395,0.639363395,56452,56452,56452,0.767680778,0.767680778,0.767680778,56452,56452,56452,0.774451689,0.774451689,0.774451689
5286,56461,56461,56461,0.661270568,0.661270568,0.661270568,56461,56461,56461,0.633375405,0.633375405,0.633375405,56461,56461,56461,0.591917004,0.591917004,0.591917004,56461,56461,56461,0.57875747,0.57875747,0.57875747,56461,56461,56461,0.713780919,0.713780919,0.713780919,56461,56461,56461,0.720183715,0.720183715,0.720183715
5287,56470,56470,56470,0.686425903,0.686425903,0.686425903,56470,56470,56470,0.660841457,0.660841457,0.660841457,56470,56470,56470,0.614505997,0.614505997,0.614505997,56470,56470,56470,0.597719025,0.597719025,0.597719025,56470,56470,56470,0.754236495,0.754236495,0.754236495,56470,56470,56470,0.772966972,0.772966972,0.772966972
5288,56479,56479,56479,0.658782718,0.658782718,0.658782718,56479,56479,56479,0.641036534,0.641036534,0.641036534,56479,56479,56479,0.615658363,0.615658363,0.615658363,56479,56479,56479,0.618565401,0.618565401,0.618565401,56479,56479,56479,0.705692043,0.705692043,0.705692043,56479,56479,56479,0.719137036,0.719137036,0.719137036
5289,56488,56488,56488,0.717457689,0.717457689,0.717457689,56488,56488,56488,0.688189143,0.688189143,0.688189143,56488,56488,56488,0.644490194,0.644490194,0.644490194,56488,56488,56488,0.622450636,0.622450636,0.622450636,56488,56488,56488,0.767744185,0.767744185,0.767744185,56488,56488,56488,0.783438238,0.783438238,0.783438238
5290,56497,56497,56497,0.673706112,0.673706112,0.673706112,56497,56497,56497,0.636760324,0.636760324,0.636760324,56497,56497,56497,0.596403542,0.596403542,0.596403542,56497,56497,56497,0.588285638,0.588285638,0.588285638,56497,56497,56497,0.734368027,0.734368027,0.734368027,56497,56497,56497,0.746440976,0.746440976,0.746440976
5291,56506,56506,56506,0.715306322,0.715306322,0.715306322,56506,56506,56506,0.697367114,0.697367114,0.697367114,56506,56506,56506,0.661904276,0.661904276,0.661904276,56506,56506,56506,0.648170856,0.648170856,0.648170856,56506,56506,56506,0.778994042,0.778994042,0.778994042,56506,56506,56506,0.782070672,0.782070672,0.782070672
5292,56515,56515,56515,0.719422234,0.719422234,0.719422234,56515,56515,56515,0.692432066,0.692432066,0.692432066,56515,56515,56515,0.648541822,0.648541822,0.648541822,56515,56515,56515,0.626795786,0.626795786,0.626795786,56515,56515,56515,0.78126835,0.78126835,0.78126835,56515,56515,56515,0.790668225,0.790668225,0.790668225
