validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX
29,20171.5,20168,20175,0.533333333,0.533333333,0.533333333,0.96969697,0.96969697,0.96969697,0,0,0,0.547008547,0.547008547,0.547008547,0.955223881,0.955223881,0.955223881,0,0,0,0.993786481,0.993786481,0.993786481,0.998367495,0.998367495,0.998367495
30,20179.5,20176,20183,0.576576577,0.576576577,0.576576577,0.831168831,0.831168831,0.831168831,0,0,0,0.64,0.64,0.64,0.831168831,0.831168831,0.831168831,0,0,0,0.994638322,0.994638322,0.994638322,0.999545991,0.999545991,0.999545991
31,20187.5,20184,20191,0.735632184,0.735632184,0.735632184,0.730769231,0.730769231,0.730769231,0,0,0,0.820512821,0.820512821,0.820512821,0.690909091,0.690909091,0.690909091,0,0,0,0.997280792,0.997280792,0.997280792,0.996074484,0.996074484,0.996074484
32,20195.5,20192,20199,0.677419355,0.677419355,0.677419355,0.564102564,0.564102564,0.564102564,0,0,0,0.666666667,0.666666667,0.666666667,0.611111111,0.611111111,0.611111111,0,0,0,0.998450135,0.998450135,0.998450135,0.989130435,0.989130435,0.989130435
33,20203.5,20200,20207,0.41025641,0.41025641,0.41025641,1,1,1,0,0,0,0.307692308,0.307692308,0.307692308,1,1,1,0,0,0,0.997652012,0.997652012,0.997652012,0.996502138,0.996502138,0.996502138
34,20211.5,20208,20215,0.955223881,0.955223881,0.955223881,0.820512821,0.820512821,0.820512821,0,0,0,0.888888889,0.888888889,0.888888889,0.8,0.8,0.8,0,0,0,0.998265819,0.998265819,0.998265819,0.999594073,0.999594073,0.999594073
35,20219.5,20216,20223,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
36,20227.5,20224,20231,0.96969697,0.96969697,0.96969697,0.086956522,0.086956522,0.086956522,0,0,0,1,1,1,0.133333333,0.133333333,0.133333333,0,0,0,0.996742183,0.996742183,0.996742183,0.980058956,0.980058956,0.980058956
37,20235.5,20232,20239,0.666666667,0.666666667,0.666666667,0.729411765,0.729411765,0.729411765,0,0,0,0.666666667,0.666666667,0.666666667,0.601941748,0.601941748,0.601941748,0,0,0,0.993296168,0.993296168,0.993296168,0.976779026,0.976779026,0.976779026
38,20243.5,20240,20247,0.646464646,0.646464646,0.646464646,0.820512821,0.820512821,0.820512821,0,0,0,0.60952381,0.60952381,0.60952381,0.790123457,0.790123457,0.790123457,0,0,0,0.996022978,0.996022978,0.996022978,0.999804726,0.999804726,0.999804726
39,20251.5,20248,20255,0.853333333,0.853333333,0.853333333,0.790123457,0.790123457,0.790123457,0,0,0,0.853333333,0.853333333,0.853333333,0.727272727,0.727272727,0.727272727,0,0,0,0.997499632,0.997499632,0.997499632,0.99902439,0.99902439,0.99902439
40,20259.5,20256,20263,0.739130435,0.739130435,0.739130435,0.62962963,0.62962963,0.62962963,0,0,0,0.829268293,0.829268293,0.829268293,0.586206897,0.586206897,0.586206897,0,0,0,0.991516865,0.991516865,0.991516865,0.920658135,0.920658135,0.920658135
41,20267.5,20264,20271,0.9,0.9,0.9,0.888888889,0.888888889,0.888888889,0,0,0,0.837209302,0.837209302,0.837209302,0.810126582,0.810126582,0.810126582,0,0,0,0.998570936,0.998570936,0.998570936,0.999091885,0.999091885,0.999091885
42,20275.5,20272,20279,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,1,1,1,0.888888889,0.888888889,0.888888889,0,0,0,0.998632299,0.998632299,0.998632299,0.998952253,0.998952253,0.998952253
43,20283.5,20280,20287,1,1,1,0.430769231,0.430769231,0.430769231,0,0,0,1,1,1,0.583333333,0.583333333,0.583333333,0,0,0,0.997899846,0.997899846,0.997899846,0.995625228,0.995625228,0.995625228
44,20291.5,20288,20295,0.9375,0.9375,0.9375,0.631578947,0.631578947,0.631578947,0,0,0,0.9375,0.9375,0.9375,0.633333333,0.633333333,0.633333333,0,0,0,0.993124066,0.993124066,0.993124066,0.917587086,0.917587086,0.917587086
45,20299.5,20296,20303,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,1,1,1,0,0,0,0.999531751,0.999531751,0.999531751,0.997402597,0.997402597,0.997402597
46,20307.5,20304,20311,1,1,1,0.96969697,0.96969697,0.96969697,0,0,0,1,1,1,0.927536232,0.927536232,0.927536232,0,0,0,0.99974792,0.99974792,0.99974792,1,1,1
47,20315.5,20312,20319,1,1,1,0.745098039,0.745098039,0.745098039,0,0,0,1,1,1,0.655172414,0.655172414,0.655172414,0,0,0,0.998602257,0.998602257,0.998602257,0.992907801,0.992907801,0.992907801
48,20323.5,20320,20327,0.977777778,0.977777778,0.977777778,0.914285714,0.914285714,0.914285714,0,0,0,0.977777778,0.977777778,0.977777778,0.695652174,0.695652174,0.695652174,0,0,0,0.998446631,0.998446631,0.998446631,0.998878505,0.998878505,0.998878505
49,20331.5,20328,20335,0.8,0.8,0.8,0.96969697,0.96969697,0.96969697,0,0,0,0.831168831,0.831168831,0.831168831,0.615384615,0.615384615,0.615384615,0,0,0,0.997332532,0.997332532,0.997332532,1,1,1
50,20339.5,20336,20343,0.820512821,0.820512821,0.820512821,0.813559322,0.813559322,0.813559322,0,0,0,0.876712329,0.876712329,0.876712329,0.705882353,0.705882353,0.705882353,0,0,0,0.997247229,0.997247229,0.997247229,0.995255474,0.995255474,0.995255474
51,20347.5,20344,20351,0.526315789,0.526315789,0.526315789,0.830188679,0.830188679,0.830188679,0,0,0,0.526315789,0.526315789,0.526315789,0.733333333,0.733333333,0.733333333,0,0,0,0.997418127,0.997418127,0.997418127,0.991708126,0.991708126,0.991708126
52,20355.5,20352,20359,0.793650794,0.793650794,0.793650794,0.914285714,0.914285714,0.914285714,0,0,0,0.819672131,0.819672131,0.819672131,0.8,0.8,0.8,0,0,0,0.996095929,0.996095929,0.996095929,0.995031467,0.995031467,0.995031467
53,20363.5,20360,20367,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,0.96969697,0.96969697,0.96969697,0.853333333,0.853333333,0.853333333,0,0,0,0.998087455,0.998087455,0.998087455,0.997328774,0.997328774,0.997328774
54,20371.5,20368,20375,1,1,1,0.949152542,0.949152542,0.949152542,0,0,0,1,1,1,0.949152542,0.949152542,0.949152542,0,0,0,0.999611784,0.999611784,0.999611784,0.998588644,0.998588644,0.998588644
55,20379.5,20376,20383,1,1,1,0.782608696,0.782608696,0.782608696,0,0,0,1,1,1,0.75,0.75,0.75,0,0,0,0.999181334,0.999181334,0.999181334,0.989645435,0.989645435,0.989645435
56,20387.5,20384,20391,1,1,1,1,1,1,0,0,0,0.888888889,0.888888889,0.888888889,1,1,1,0,0,0,0.999922233,0.999922233,0.999922233,0.99925849,0.99925849,0.99925849
57,20395.5,20392,20399,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,0.876712329,0.876712329,0.876712329,0.876712329,0.876712329,0.876712329,0,0,0,0.999154763,0.999154763,0.999154763,0.998390435,0.998390435,0.998390435
58,20403.5,20400,20407,1,1,1,0.96969697,0.96969697,0.96969697,0,0,0,0.984615385,0.984615385,0.984615385,0.955223881,0.955223881,0.955223881,0,0,0,0.999788807,0.999788807,0.999788807,0.999885097,0.999885097,0.999885097
59,20411.5,20408,20415,1,1,1,0.52173913,0.52173913,0.52173913,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0.999018095,0.999018095,0.999018095,0.993190416,0.993190416,0.993190416
60,20419.5,20416,20423,0.875,0.875,0.875,0.941176471,0.941176471,0.941176471,0,0,0,0.777777778,0.777777778,0.777777778,0.914285714,0.914285714,0.914285714,0,0,0,0.999131053,0.999131053,0.999131053,0.997482517,0.997482517,0.997482517
61,20427.5,20424,20431,0.955223881,0.955223881,0.955223881,0.941176471,0.941176471,0.941176471,0,0,0,0.955223881,0.955223881,0.955223881,0.853333333,0.853333333,0.853333333,0,0,0,0.997527375,0.997527375,0.997527375,0.996397324,0.996397324,0.996397324
62,20435.5,20432,20439,0.984615385,0.984615385,0.984615385,0.673684211,0.673684211,0.673684211,0,0,0,1,1,1,0.688172043,0.688172043,0.688172043,0,0,0,0.996859102,0.996859102,0.996859102,0.998970982,0.998970982,0.998970982
63,20443.5,20440,20447,0.961538462,0.961538462,0.961538462,0.434782609,0.434782609,0.434782609,0,0,0,0.979591837,0.979591837,0.979591837,0.487804878,0.487804878,0.487804878,0,0,0,0.99792115,0.99792115,0.99792115,0.98668786,0.98668786,0.98668786
64,20451.5,20448,20455,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.998838456,0.998838456,0.998838456,0.997627052,0.997627052,0.997627052
65,20459.5,20456,20463,0,0,0,0.727272727,0.727272727,0.727272727,0,0,0,0,0,0,0.727272727,0.727272727,0.727272727,0,0,0,0.987326762,0.987326762,0.987326762,0.988665718,0.988665718,0.988665718
66,20467.5,20464,20471,0.421052632,0.421052632,0.421052632,0.484210526,0.484210526,0.484210526,0,0,0,0.592592593,0.592592593,0.592592593,0.494623656,0.494623656,0.494623656,0,0,0,0.941267989,0.941267989,0.941267989,0.992218943,0.992218943,0.992218943
67,20475.5,20472,20479,0.860465116,0.860465116,0.860465116,0.923076923,0.923076923,0.923076923,0,0,0,0.913580247,0.913580247,0.913580247,0.967741935,0.967741935,0.967741935,0,0,0,0.262626263,0.262626263,0.262626263,0.978731521,0.978731521,0.978731521
68,20483.5,20480,20487,0.914285714,0.914285714,0.914285714,0.952380952,0.952380952,0.952380952,0,0,0,0.876712329,0.876712329,0.876712329,0.970873786,0.970873786,0.970873786,0,0,0,0.873441503,0.873441503,0.873441503,0.970522232,0.970522232,0.970522232
69,20491.5,20488,20495,0.976190476,0.976190476,0.976190476,0.847682119,0.847682119,0.847682119,0,0,0,0.942528736,0.942528736,0.942528736,0.934306569,0.934306569,0.934306569,0,0,0,0.890719762,0.890719762,0.890719762,0.956985089,0.956985089,0.956985089
70,20499.5,20496,20503,0.99270073,0.99270073,0.99270073,0.706896552,0.706896552,0.706896552,0,0,0,0.99270073,0.99270073,0.99270073,0.732142857,0.732142857,0.732142857,0,0,0,0.991481306,0.991481306,0.991481306,0.986740186,0.986740186,0.986740186
