validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX
60,20419.5,20416,20423,0.933333333,0.933333333,0.933333333,0.842105263,0.842105263,0.842105263,0,0,0,0.777777778,0.777777778,0.777777778,0.761904762,0.761904762,0.761904762,0,0,0,0.998694878,0.998694878,0.998694878,0.999162245,0.999162245,0.999162245
61,20427.5,20424,20431,0.955223881,0.955223881,0.955223881,0.666666667,0.666666667,0.666666667,0,0,0,0.984615385,0.984615385,0.984615385,0.571428571,0.571428571,0.571428571,0,0,0,0.995749203,0.995749203,0.995749203,0.998764924,0.998764924,0.998764924
62,20435.5,20432,20439,0.955223881,0.955223881,0.955223881,0.703296703,0.703296703,0.703296703,0,0,0,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0,0.996197046,0.996197046,0.996197046,0.997527812,0.997527812,0.997527812
63,20443.5,20440,20447,0.684931507,0.684931507,0.684931507,0.23255814,0.23255814,0.23255814,0,0,0,0.8,0.8,0.8,0.186915888,0.186915888,0.186915888,0,0,0,0.981595979,0.981595979,0.981595979,0.901438694,0.901438694,0.901438694
64,20451.5,20448,20455,0,0,0,0.761904762,0.761904762,0.761904762,0,0,0,0,0,0,0.453900709,0.453900709,0.453900709,0,0,0,0.995021752,0.995021752,0.995021752,0.999108646,0.999108646,0.999108646
65,20459.5,20456,20463,0,0,0,0.484848485,0.484848485,0.484848485,0,0,0,0,0,0,0.418300654,0.418300654,0.418300654,0,0,0,0.976862598,0.976862598,0.976862598,0.991305264,0.991305264,0.991305264
66,20467.5,20464,20471,0,0,0,0.429906542,0.429906542,0.429906542,0,0,0,0,0,0,0.446601942,0.446601942,0.446601942,0,0,0,0.942212017,0.942212017,0.942212017,0.992448397,0.992448397,0.992448397
67,20475.5,20472,20479,0.227272727,0.227272727,0.227272727,0.64516129,0.64516129,0.64516129,0,0,0,0.23255814,0.23255814,0.23255814,0.8,0.8,0.8,0,0,0,0.088779285,0.088779285,0.088779285,0.973079116,0.973079116,0.973079116
68,20483.5,20480,20487,0.621359223,0.621359223,0.621359223,0.675675676,0.675675676,0.675675676,0,0,0,0.581818182,0.581818182,0.581818182,0.751879699,0.751879699,0.751879699,0,0,0,0.860051769,0.860051769,0.860051769,0.962923608,0.962923608,0.962923608
69,20491.5,20488,20495,0.709219858,0.709219858,0.709219858,0.752941176,0.752941176,0.752941176,0,0,0,0.649350649,0.649350649,0.649350649,0.70718232,0.70718232,0.70718232,0,0,0,0.874576271,0.874576271,0.874576271,0.948765484,0.948765484,0.948765484
