training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,eps1e-8,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,eps1e-6,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MAX
96,872,872,872,0.505718548,0.505718548,0.505718548,872,872,872,0.470063941,0.470063941,0.470063941
97,881,881,881,0.554715396,0.554715396,0.554715396,881,881,881,0.485151342,0.485151342,0.485151342
98,890,890,890,0.578301736,0.578301736,0.578301736,890,890,890,0.570341328,0.570341328,0.570341328
99,899,899,899,0.552493162,0.552493162,0.552493162,899,899,899,0.452535581,0.452535581,0.452535581
100,908,908,908,0.566022479,0.566022479,0.566022479,908,908,908,0.504627249,0.504627249,0.504627249
101,917,917,917,0.569474884,0.569474884,0.569474884,917,917,917,0.489820816,0.489820816,0.489820816
102,926,926,926,0.53612509,0.53612509,0.53612509,926,926,926,0.473825264,0.473825264,0.473825264
103,935,935,935,0.625461003,0.625461003,0.625461003,935,935,935,0.560284762,0.560284762,0.560284762
104,944,944,944,0.551481979,0.551481979,0.551481979,944,944,944,0.465185775,0.465185775,0.465185775
105,953,953,953,0.600656782,0.600656782,0.600656782,953,953,953,0.533445284,0.533445284,0.533445284
106,962,962,962,0.583129029,0.583129029,0.583129029,962,962,962,0.534835627,0.534835627,0.534835627
107,971,971,971,0.570932252,0.570932252,0.570932252,971,971,971,0.485067612,0.485067612,0.485067612
108,980,980,980,0.650879896,0.650879896,0.650879896,980,980,980,0.564700257,0.564700257,0.564700257
109,989,989,989,0.54626087,0.54626087,0.54626087,989,989,989,0.488679371,0.488679371,0.488679371
110,998,998,998,0.624694552,0.624694552,0.624694552,998,998,998,0.566625522,0.566625522,0.566625522
111,1007,1007,1007,0.676430748,0.676430748,0.676430748,1007,1007,1007,0.547935103,0.547935103,0.547935103
112,1016,1016,1016,0.589981755,0.589981755,0.589981755,1016,1016,1016,0.55194555,0.55194555,0.55194555
113,1025,1025,1025,0.587773224,0.587773224,0.587773224,1025,1025,1025,0.515745692,0.515745692,0.515745692
114,1034,1034,1034,0.665996986,0.665996986,0.665996986,1034,1034,1034,0.570315819,0.570315819,0.570315819
115,1043,1043,1043,0.666031526,0.666031526,0.666031526,1043,1043,1043,0.575358942,0.575358942,0.575358942
116,1052,1052,1052,0.583544763,0.583544763,0.583544763,1052,1052,1052,0.541530511,0.541530511,0.541530511
117,1061,1061,1061,0.642047107,0.642047107,0.642047107,1061,1061,1061,0.499110752,0.499110752,0.499110752
118,1070,1070,1070,0.630009107,0.630009107,0.630009107,1070,1070,1070,0.494823277,0.494823277,0.494823277
119,1079,1079,1079,0.625628379,0.625628379,0.625628379,1079,1079,1079,0.490557382,0.490557382,0.490557382
120,1088,1088,1088,0.5793503,0.5793503,0.5793503,1088,1088,1088,0.466757586,0.466757586,0.466757586
121,1097,1097,1097,0.570775781,0.570775781,0.570775781,1097,1097,1097,0.483330263,0.483330263,0.483330263
122,1106,1106,1106,0.612004018,0.612004018,0.612004018,1106,1106,1106,0.483518666,0.483518666,0.483518666
123,1115,1115,1115,0.718790599,0.718790599,0.718790599,1115,1115,1115,0.571148184,0.571148184,0.571148184
124,1124,1124,1124,0.771502895,0.771502895,0.771502895,1124,1124,1124,0.647431285,0.647431285,0.647431285
125,1133,1133,1133,0.695693704,0.695693704,0.695693704,1133,1133,1133,0.596750575,0.596750575,0.596750575
126,1142,1142,1142,0.569424245,0.569424245,0.569424245,1142,1142,1142,0.498904164,0.498904164,0.498904164
127,1151,1151,1151,0.684192615,0.684192615,0.684192615,1151,1151,1151,0.552232907,0.552232907,0.552232907
128,1160,1160,1160,0.647188631,0.647188631,0.647188631,1160,1160,1160,0.524458131,0.524458131,0.524458131
129,1169,1169,1169,0.618512694,0.618512694,0.618512694,1169,1169,1169,0.563143784,0.563143784,0.563143784
130,1178,1178,1178,0.618373395,0.618373395,0.618373395,1178,1178,1178,0.486709898,0.486709898,0.486709898
131,1187,1187,1187,0.711106446,0.711106446,0.711106446,1187,1187,1187,0.553694427,0.553694427,0.553694427
132,1196,1196,1196,0.566932311,0.566932311,0.566932311,1196,1196,1196,0.453033268,0.453033268,0.453033268
133,1205,1205,1205,0.60939829,0.60939829,0.60939829,1205,1205,1205,0.541172141,0.541172141,0.541172141
134,1214,1214,1214,0.610866637,0.610866637,0.610866637,1214,1214,1214,0.521116928,0.521116928,0.521116928
135,1223,1223,1223,0.684201236,0.684201236,0.684201236,1223,1223,1223,0.590544009,0.590544009,0.590544009
136,1232,1232,1232,0.589339909,0.589339909,0.589339909,1232,1232,1232,0.497168117,0.497168117,0.497168117
137,1241,1241,1241,0.698887057,0.698887057,0.698887057,1241,1241,1241,0.571803369,0.571803369,0.571803369
138,1250,1250,1250,0.617752396,0.617752396,0.617752396,1250,1250,1250,0.531450382,0.531450382,0.531450382
139,1259,1259,1259,0.591804708,0.591804708,0.591804708,1259,1259,1259,0.480055885,0.480055885,0.480055885
140,1268,1268,1268,0.566917063,0.566917063,0.566917063,1268,1268,1268,0.525144509,0.525144509,0.525144509
141,1277,1277,1277,0.731304481,0.731304481,0.731304481,1277,1277,1277,0.638834131,0.638834131,0.638834131
142,1286,1286,1286,0.683028889,0.683028889,0.683028889,1286,1286,1286,0.576842105,0.576842105,0.576842105
143,1295,1295,1295,0.651653301,0.651653301,0.651653301,1295,1295,1295,0.544681621,0.544681621,0.544681621
144,1304,1304,1304,0.732566573,0.732566573,0.732566573,1304,1304,1304,0.586635715,0.586635715,0.586635715
145,1313,1313,1313,0.644754804,0.644754804,0.644754804,1313,1313,1313,0.532558793,0.532558793,0.532558793
146,1322,1322,1322,0.704568909,0.704568909,0.704568909,1322,1322,1322,0.614576844,0.614576844,0.614576844
147,1331,1331,1331,0.654684976,0.654684976,0.654684976,1331,1331,1331,0.530283778,0.530283778,0.530283778
148,1340,1340,1340,0.675881568,0.675881568,0.675881568,1340,1340,1340,0.583234597,0.583234597,0.583234597
149,1349,1349,1349,0.620357841,0.620357841,0.620357841,1349,1349,1349,0.572651533,0.572651533,0.572651533
150,1358,1358,1358,0.646232263,0.646232263,0.646232263,1358,1358,1358,0.586674156,0.586674156,0.586674156
151,1367,1367,1367,0.662834225,0.662834225,0.662834225,1367,1367,1367,0.591873117,0.591873117,0.591873117
152,1376,1376,1376,0.70495757,0.70495757,0.70495757,1376,1376,1376,0.573375043,0.573375043,0.573375043
153,1385,1385,1385,0.638391309,0.638391309,0.638391309,1385,1385,1385,0.539367182,0.539367182,0.539367182
154,1394,1394,1394,0.730729347,0.730729347,0.730729347,1394,1394,1394,0.558210473,0.558210473,0.558210473
155,1403,1403,1403,0.663182346,0.663182346,0.663182346,1403,1403,1403,0.489802249,0.489802249,0.489802249
156,1412,1412,1412,0.674676049,0.674676049,0.674676049,1412,1412,1412,0.594553321,0.594553321,0.594553321
157,1421,1421,1421,0.680889325,0.680889325,0.680889325,1421,1421,1421,0.618696884,0.618696884,0.618696884
158,1430,1430,1430,0.633831915,0.633831915,0.633831915,1430,1430,1430,0.616030919,0.616030919,0.616030919
159,1439,1439,1439,0.693712465,0.693712465,0.693712465,1439,1439,1439,0.554274144,0.554274144,0.554274144
160,1448,1448,1448,0.72747093,0.72747093,0.72747093,1448,1448,1448,0.600608431,0.600608431,0.600608431
161,1457,1457,1457,0.690117599,0.690117599,0.690117599,1457,1457,1457,0.557856426,0.557856426,0.557856426
162,1466,1466,1466,0.713510192,0.713510192,0.713510192,1466,1466,1466,0.601416526,0.601416526,0.601416526
163,1475,1475,1475,0.658156981,0.658156981,0.658156981,1475,1475,1475,0.532369372,0.532369372,0.532369372
164,1484,1484,1484,0.676238837,0.676238837,0.676238837,1484,1484,1484,0.629256515,0.629256515,0.629256515
165,1493,1493,1493,0.676037736,0.676037736,0.676037736,1493,1493,1493,0.614359734,0.614359734,0.614359734
166,1502,1502,1502,0.64952381,0.64952381,0.64952381,1502,1502,1502,0.58652471,0.58652471,0.58652471
167,1511,1511,1511,0.659889247,0.659889247,0.659889247,1511,1511,1511,0.574557709,0.574557709,0.574557709
168,1520,1520,1520,0.673811487,0.673811487,0.673811487,1520,1520,1520,0.568007267,0.568007267,0.568007267
169,1529,1529,1529,0.681256378,0.681256378,0.681256378,1529,1529,1529,0.545439469,0.545439469,0.545439469
170,1538,1538,1538,0.695702403,0.695702403,0.695702403,1538,1538,1538,0.534258845,0.534258845,0.534258845
171,1547,1547,1547,0.695558662,0.695558662,0.695558662,1547,1547,1547,0.575263663,0.575263663,0.575263663
172,1556,1556,1556,0.718677803,0.718677803,0.718677803,1556,1556,1556,0.61008852,0.61008852,0.61008852
173,1565,1565,1565,0.764361885,0.764361885,0.764361885,1565,1565,1565,0.606369672,0.606369672,0.606369672
174,1574,1574,1574,0.743268287,0.743268287,0.743268287,1574,1574,1574,0.608783647,0.608783647,0.608783647
175,1583,1583,1583,0.669956507,0.669956507,0.669956507,1583,1583,1583,0.617881899,0.617881899,0.617881899
176,1592,1592,1592,0.713412062,0.713412062,0.713412062,1592,1592,1592,0.542757861,0.542757861,0.542757861
177,1601,1601,1601,0.758147199,0.758147199,0.758147199,1601,1601,1601,0.663940119,0.663940119,0.663940119
178,1610,1610,1610,0.637927183,0.637927183,0.637927183,1610,1610,1610,0.593022113,0.593022113,0.593022113
179,1619,1619,1619,0.728131981,0.728131981,0.728131981,1619,1619,1619,0.609265098,0.609265098,0.609265098
180,1628,1628,1628,0.727205131,0.727205131,0.727205131,1628,1628,1628,0.645172657,0.645172657,0.645172657
181,1637,1637,1637,0.690680051,0.690680051,0.690680051,1637,1637,1637,0.584188754,0.584188754,0.584188754
182,1646,1646,1646,0.703723499,0.703723499,0.703723499,1646,1646,1646,0.579251976,0.579251976,0.579251976
183,1655,1655,1655,0.667747164,0.667747164,0.667747164,1655,1655,1655,0.545330268,0.545330268,0.545330268
184,1664,1664,1664,0.717379659,0.717379659,0.717379659,1664,1664,1664,0.566897919,0.566897919,0.566897919
185,1673,1673,1673,0.637974684,0.637974684,0.637974684,1673,1673,1673,0.522642448,0.522642448,0.522642448
186,1682,1682,1682,0.639067055,0.639067055,0.639067055,1682,1682,1682,0.534788707,0.534788707,0.534788707
187,1691,1691,1691,0.77016317,0.77016317,0.77016317,1691,1691,1691,0.603850765,0.603850765,0.603850765
188,1700,1700,1700,0.756092608,0.756092608,0.756092608,1700,1700,1700,0.646165823,0.646165823,0.646165823
189,1709,1709,1709,0.662946647,0.662946647,0.662946647,1709,1709,1709,0.53885697,0.53885697,0.53885697
190,1718,1718,1718,0.73470261,0.73470261,0.73470261,1718,1718,1718,0.634863086,0.634863086,0.634863086
191,1727,1727,1727,0.742795995,0.742795995,0.742795995,1727,1727,1727,0.649330837,0.649330837,0.649330837
192,1736,1736,1736,0.728830372,0.728830372,0.728830372,1736,1736,1736,0.613597111,0.613597111,0.613597111
193,1745,1745,1745,0.618785561,0.618785561,0.618785561,1745,1745,1745,0.528053263,0.528053263,0.528053263
194,1754,1754,1754,0.73406804,0.73406804,0.73406804,1754,1754,1754,0.599910308,0.599910308,0.599910308
195,1763,1763,1763,0.697023458,0.697023458,0.697023458,1763,1763,1763,0.542258183,0.542258183,0.542258183
196,1772,1772,1772,0.737300797,0.737300797,0.737300797,1772,1772,1772,0.534005857,0.534005857,0.534005857
197,1781,1781,1781,0.726843967,0.726843967,0.726843967,1781,1781,1781,0.556131261,0.556131261,0.556131261
198,1790,1790,1790,0.739726027,0.739726027,0.739726027,1790,1790,1790,0.62044374,0.62044374,0.62044374
199,1799,1799,1799,0.655050624,0.655050624,0.655050624,1799,1799,1799,0.552952202,0.552952202,0.552952202
200,1808,1808,1808,0.703323837,0.703323837,0.703323837,1808,1808,1808,0.552012546,0.552012546,0.552012546
201,1817,1817,1817,0.713863762,0.713863762,0.713863762,1817,1817,1817,0.590095327,0.590095327,0.590095327
202,1826,1826,1826,0.670362473,0.670362473,0.670362473,1826,1826,1826,0.570460118,0.570460118,0.570460118
203,1835,1835,1835,0.677245319,0.677245319,0.677245319,1835,1835,1835,0.588544532,0.588544532,0.588544532
204,1844,1844,1844,0.660809154,0.660809154,0.660809154,1844,1844,1844,0.518714714,0.518714714,0.518714714
205,1853,1853,1853,0.688158256,0.688158256,0.688158256,1853,1853,1853,0.585941435,0.585941435,0.585941435
206,1862,1862,1862,0.742559166,0.742559166,0.742559166,1862,1862,1862,0.607387141,0.607387141,0.607387141
207,1871,1871,1871,0.818023887,0.818023887,0.818023887,1871,1871,1871,0.687778227,0.687778227,0.687778227
208,1880,1880,1880,0.73285764,0.73285764,0.73285764,1880,1880,1880,0.571569986,0.571569986,0.571569986
209,1889,1889,1889,0.727530301,0.727530301,0.727530301,1889,1889,1889,0.651318799,0.651318799,0.651318799
210,1898,1898,1898,0.617196702,0.617196702,0.617196702,1898,1898,1898,0.497804028,0.497804028,0.497804028
211,1907,1907,1907,0.710965015,0.710965015,0.710965015,1907,1907,1907,0.533186216,0.533186216,0.533186216
212,1916,1916,1916,0.76458795,0.76458795,0.76458795,1916,1916,1916,0.553660983,0.553660983,0.553660983
213,1925,1925,1925,0.799444444,0.799444444,0.799444444,1925,1925,1925,0.63037992,0.63037992,0.63037992
214,1934,1934,1934,0.728609626,0.728609626,0.728609626,1934,1934,1934,0.575279906,0.575279906,0.575279906
215,1943,1943,1943,0.736055332,0.736055332,0.736055332,1943,1943,1943,0.609760802,0.609760802,0.609760802
216,1952,1952,1952,0.701825168,0.701825168,0.701825168,1952,1952,1952,0.608528989,0.608528989,0.608528989
217,1961,1961,1961,0.729050781,0.729050781,0.729050781,1961,1961,1961,0.654313725,0.654313725,0.654313725
218,1970,1970,1970,0.652794184,0.652794184,0.652794184,1970,1970,1970,0.569782898,0.569782898,0.569782898
219,1979,1979,1979,0.700619281,0.700619281,0.700619281,1979,1979,1979,0.600184247,0.600184247,0.600184247
220,1988,1988,1988,0.721975215,0.721975215,0.721975215,1988,1988,1988,0.580649758,0.580649758,0.580649758
221,1997,1997,1997,0.73199913,0.73199913,0.73199913,1997,1997,1997,0.620673077,0.620673077,0.620673077
222,2006,2006,2006,0.741535226,0.741535226,0.741535226,2006,2006,2006,0.614310646,0.614310646,0.614310646
223,2015,2015,2015,0.74689733,0.74689733,0.74689733,2015,2015,2015,0.615115771,0.615115771,0.615115771
224,2024,2024,2024,0.716016331,0.716016331,0.716016331,2024,2024,2024,0.65253674,0.65253674,0.65253674
225,2033,2033,2033,0.674273341,0.674273341,0.674273341,2033,2033,2033,0.608704234,0.608704234,0.608704234
226,2042,2042,2042,0.731085245,0.731085245,0.731085245,2042,2042,2042,0.634663449,0.634663449,0.634663449
227,2051,2051,2051,0.774615874,0.774615874,0.774615874,2051,2051,2051,0.620705313,0.620705313,0.620705313
228,2060,2060,2060,0.74539545,0.74539545,0.74539545,2060,2060,2060,0.603887827,0.603887827,0.603887827
229,2069,2069,2069,0.735427488,0.735427488,0.735427488,2069,2069,2069,0.635578584,0.635578584,0.635578584
230,2078,2078,2078,0.798651061,0.798651061,0.798651061,2078,2078,2078,0.600376412,0.600376412,0.600376412
231,2087,2087,2087,0.739437834,0.739437834,0.739437834,2087,2087,2087,0.642490425,0.642490425,0.642490425
232,2096,2096,2096,0.683132747,0.683132747,0.683132747,2096,2096,2096,0.62057272,0.62057272,0.62057272
233,2105,2105,2105,0.666222265,0.666222265,0.666222265,2105,2105,2105,0.621192542,0.621192542,0.621192542
234,2114,2114,2114,0.741520727,0.741520727,0.741520727,2114,2114,2114,0.559497413,0.559497413,0.559497413
235,2123,2123,2123,0.792356378,0.792356378,0.792356378,2123,2123,2123,0.618774704,0.618774704,0.618774704
236,2132,2132,2132,0.74797884,0.74797884,0.74797884,2132,2132,2132,0.66299294,0.66299294,0.66299294
237,2141,2141,2141,0.809713906,0.809713906,0.809713906,2141,2141,2141,0.646624473,0.646624473,0.646624473
238,2150,2150,2150,0.773547094,0.773547094,0.773547094,2150,2150,2150,0.590254077,0.590254077,0.590254077
239,2159,2159,2159,0.78551428,0.78551428,0.78551428,2159,2159,2159,0.63449692,0.63449692,0.63449692
240,2168,2168,2168,0.685860133,0.685860133,0.685860133,2168,2168,2168,0.573773295,0.573773295,0.573773295
