"validation_step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MAX"
"10","20019.25","20017","20021","0.8421052631578948","0.8421052631578948","0.8421052631578948","0.9142857142857143","0.9142857142857143","0.9142857142857143","0.684931506849315","0.684931506849315","0.684931506849315","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"11","20027.25","20025","20029","0.7032967032967034","0.7032967032967034","0.7032967032967034","0.8648648648648648","0.8648648648648648","0.8648648648648648","0.653061224489796","0.653061224489796","0.653061224489796","0.6153846153846153","0.6153846153846153","0.6153846153846153"
"12","20035.25","20033","20037","0.19999999999999998","0.19999999999999998","0.19999999999999998","0.19718309859154928","0.19718309859154928","0.19718309859154928","0.6336633663366337","0.6336633663366337","0.6336633663366337","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"13","20043.25","20041","20045","0.7936507936507937","0.7936507936507937","0.7936507936507937","0.7575757575757575","0.7575757575757575","0.7575757575757575","0.208955223880597","0.208955223880597","0.208955223880597","0.1842105263157895","0.1842105263157895","0.1842105263157895"
"14","20051.25","20049","20053","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5245901639344263","0.5245901639344263","0.5245901639344263","0.3114754098360656","0.3114754098360656","0.3114754098360656","0.26027397260273977","0.26027397260273977","0.26027397260273977"
"15","20059.25","20057","20061","0.7901234567901235","0.7901234567901235","0.7901234567901235","0.6336633663366337","0.6336633663366337","0.6336633663366337","0.49612403100775193","0.49612403100775193","0.49612403100775193","0.37647058823529417","0.37647058823529417","0.37647058823529417"
"16","20067.25","20065","20069","0.4415584415584416","0.4415584415584416","0.4415584415584416","0.430379746835443","0.430379746835443","0.430379746835443","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.5079365079365079","0.5079365079365079","0.5079365079365079"
"17","20075.25","20073","20077","0.2424242424242424","0.2424242424242424","0.2424242424242424","0.29629629629629634","0.29629629629629634","0.29629629629629634","0.5714285714285715","0.5714285714285715","0.5714285714285715","0.4040404040404041","0.4040404040404041","0.4040404040404041"
"18","20083.25","20081","20085","0.7804878048780487","0.7804878048780487","0.7804878048780487","0.8","0.8","0.8","0","0","0","0","0","0"
"19","20091.25","20089","20093","0.7441860465116279","0.7441860465116279","0.7441860465116279","0.7901234567901235","0.7901234567901235","0.7901234567901235","0","0","0","0","0","0"
"20","20099.25","20097","20101","0.425","0.425","0.425","0.8717948717948718","0.8717948717948718","0.8717948717948718","0.375","0.375","0.375","0.2912621359223301","0.2912621359223301","0.2912621359223301"
"21","20107.25","20105","20109","0.4057971014492754","0.4057971014492754","0.4057971014492754","0.49122807017543857","0.49122807017543857","0.49122807017543857","0.3461538461538462","0.3461538461538462","0.3461538461538462","0.28125","0.28125","0.28125"
"22","20115.25","20113","20117","0.9014084507042254","0.9014084507042254","0.9014084507042254","0.9696969696969697","0.9696969696969697","0.9696969696969697","0","0","0","0","0","0"
"23","20123.25","20121","20125","0.5614035087719299","0.5614035087719299","0.5614035087719299","0.8311688311688311","0.8311688311688311","0.8311688311688311","0","0","0","0","0","0"
